Alejandra-A-Musc-ABC-L01
Gráfico creado el:2026-06-03 15:19:29.338
Registro en:2026-06-03 15:33:37.326
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,227112 samples,227112 samples,
0,0.0128174,0.000128174,
2,0.0158691,0.000286865,
4,-0.055542,0.000842285,
6,0.00183105,0.000860596,
8,0.00854492,0.000946045,
10,-0.00732422,0.00101929,
12,-0.0158691,0.00117798,
14,-0.0177002,0.00135498,
16,-0.00366211,0.0013916,
18,0.0280762,0.00167236,
20,-0.00915527,0.00176392,
22,-0.0219727,0.00198364,
24,0.0280762,0.0022644,
26,0.0140381,0.00240479,
28,-0.0469971,0.00287476,
30,-0.012207,0.00299683,
32,-0.00732422,0.00307007,
34,-0.0268555,0.00333862,
36,-0.0268555,0.00360718,
38,-0.0201416,0.00380859,
40,-0.0183105,0.0039917,
42,-0.00610352,0.00405273,
44,-0.00427246,0.00409546,
46,-0.00366211,0.00413208,
48,-0.0109863,0.00424194,
50,-0.00305176,0.00427246,
52,-0.00427246,0.00431519,
54,0.0164795,0.00447998,
56,0.0189209,0.00466919,
58,-0.0518799,0.00518799,
60,0.0128174,0.00531616,
62,0.012207,0.00543823,
64,-0.0158691,0.00559692,
66,-0.00366211,0.00563354,
68,0.0012207,0.00564575,
70,0.00549316,0.00570068,
72,-0.0134277,0.00583496,
74,-0.0134277,0.00596924,
76,-0.00915527,0.00606079,
78,0.00183105,0.0060791,
80,-0.00854492,0.00616455,
82,-0.0109863,0.00627441,
84,-0.0146484,0.0064209,
86,0.0152588,0.00657349,
88,0.0012207,0.00658569,
90,-0.0402832,0.00698853,
92,0.0158691,0.00714722,
94,0.012207,0.00726929,
96,-0.00793457,0.00734863,
98,-0.00915527,0.00744019,
100,-0.00305176,0.0074707,
102,-0.00610352,0.00753174,
104,-0.0109863,0.0076416,
106,0.00488281,0.00769043,
108,0.022583,0.00791626,
110,0.0372314,0.00828857,
112,-0.0592041,0.00888062,
114,-0.0177002,0.00905762,
116,0.022583,0.00928345,
118,-0.00671387,0.00935059,
120,-0.0262451,0.00961304,
122,-0.020752,0.00982056,
124,-0.0140381,0.00996094,
126,0.000610352,0.00996704,
128,-0.0268555,0.0102356,
130,0.0140381,0.010376,
132,0.00854492,0.0104614,
134,-0.0146484,0.0106079,
136,-0.00488281,0.0106567,
138,-0.00610352,0.0107178,
