Alejandra-B-Musc-ABC-L01
Gráfico creado el:2026-06-03 15:45:53.898
Registro en:2026-06-03 15:46:44.817
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,225654 samples,225654 samples,
0,0.0012207,1.2207E-05,
2,-0.00305176,4.27246E-05,
4,0.00244141,6.71387E-05,
6,-0.000610352,7.32422E-05,
8,-0.00427246,0.000115967,
10,0.00427246,0.000158691,
12,-0.00610352,0.000219727,
14,-0.000610352,0.00022583,
16,0.00183105,0.000244141,
18,-0.00793457,0.000323486,
20,-0.00183105,0.000341797,
22,-0.00732422,0.000415039,
24,-0.00854492,0.000500488,
26,0.000610352,0.000506592,
28,-0.00366211,0.000543213,
30,-0.00427246,0.000585937,
32,-0.00366211,0.000622559,
34,-0.00488281,0.000671387,
36,-0.00305176,0.000701904,
38,-0.00366211,0.000738525,
40,-0.00488281,0.000787354,
42,-0.00488281,0.000836182,
44,-0.00427246,0.000878906,
46,-0.00793457,0.000958252,
48,-0.00549316,0.00101318,
50,-0.00488281,0.00106201,
52,-0.000610352,0.00106812,
54,-0.0012207,0.00108032,
56,0.00183105,0.00109863,
58,-0.0115967,0.0012146,
60,0.000610352,0.0012207,
62,-0.00427246,0.00126343,
64,-0.00671387,0.00133057,
66,-0.00305176,0.00136108,
68,-0.0152588,0.00151367,
70,-0.00488281,0.0015625,
72,-0.00488281,0.00161133,
74,-0.00976563,0.00170898,
76,-0.00610352,0.00177002,
78,-0.00549316,0.00182495,
80,-0.00427246,0.00186768,
82,-0.00183105,0.00188599,
84,-0.00732422,0.00195923,
86,-0.00183105,0.00197754,
88,-0.00488281,0.00202637,
90,-0.00183105,0.00204468,
92,-0.00488281,0.00209351,
94,-0.00793457,0.00217285,
96,-0.00427246,0.00221558,
98,-0.00854492,0.00230103,
100,-0.00305176,0.00233154,
102,-0.012207,0.00245361,
104,0.00305176,0.00248413,
106,-0.00732422,0.00255737,
108,-0.00732422,0.00263062,
110,-0.00488281,0.00267944,
112,-0.00610352,0.00274048,
114,-0.00610352,0.00280151,
116,0.000610352,0.00280762,
118,-0.00732422,0.00288086,
120,-0.00671387,0.002948,
122,-0.00305176,0.00297852,
124,-0.0115967,0.00309448,
126,0.0012207,0.00310669,
128,-0.00366211,0.00314331,
130,-0.00427246,0.00318604,
132,0,0.00318604,
134,-0.00793457,0.00326538,
136,0.0012207,0.00327759,
138,-0.00427246,0.00332031,
140,-0.00488281,0.00336914,
142,-0.00488281,0.00341797,
144,-0.00549316,0.0034729,
146,-0.00488281,0.00352173,
148,-0.00732422,0.00359497,
150,0.000610352,0.00360107,
152,-0.00793457,0.00368042,
154,0.00183105,0.00369873,
156,-0.00183105,0.00371704,
158,-0.00610352,0.00377808,
160,-0.00305176,0.00380859,
162,-0.00305176,0.00383911,
164,-0.000610352,0.00384521,
166,-0.00610352,0.00390625,
168,-0.00549316,0.00396118,
170,-0.00915527,0.00405273,
172,0,0.00405273,
174,-0.00915527,0.00414429,
176,0,0.00414429,
178,-0.00671387,0.00421143,
180,-0.00732422,0.00428467,
182,-0.0012207,0.00429688,
184,-0.00671387,0.00436401,
186,-0.010376,0.00446777,
188,-0.00488281,0.0045166,
190,-0.00244141,0.00454102,
192,-0.0128174,0.00466919,
194,-0.0012207,0.0046814,
196,-0.00488281,0.00473022,
198,-0.010376,0.00483398,
200,0,0.00482178,
202,-0.00732422,0.0048645,
204,0.000610352,0.00484619,
206,-0.00854492,0.00492554,
208,-0.00488281,0.00493164,
210,-0.00366211,0.00492554,
212,-0.00427246,0.00490723,
214,-0.00610352,0.00496216,
216,-0.00427246,0.00498657,
218,-0.00793457,0.00498657,
220,-0.00244141,0.00499268,
222,-0.00488281,0.00496826,
224,-0.0109863,0.00499268,
226,0.000610352,0.00499268,
228,-0.00427246,0.00499878,
230,-0.00488281,0.00500488,
232,0.000610352,0.00497437,
234,-0.00732422,0.00499878,
236,-0.00549316,0.00502319,
238,-0.00244141,0.00501099,
240,-0.0115967,0.00507813,
242,-0.00305176,0.00505981,
244,-0.00549316,0.00507202,
246,-0.00854492,0.00507813,
248,-0.00488281,0.00507202,
250,-0.00610352,0.00508423,
252,-0.00610352,0.00513916,
254,-0.00183105,0.00514526,
256,-0.0012207,0.00513916,
258,-0.00793457,0.00510254,
260,0.0012207,0.00510864,
262,-0.00610352,0.00512695,
264,-0.00732422,0.00513306,
266,0.00244141,0.00512695,
268,-0.00732422,0.00504761,
270,-0.00610352,0.00505981,
272,-0.00366211,0.00504761,
274,-0.00305176,0.00498047,
276,-0.00244141,0.00494385,
278,-0.00305176,0.00491943,
280,-0.00366211,0.00491333,
282,0.00183105,0.00491333,
284,-0.00976563,0.00493774,
286,-0.000610352,0.00492554,
288,-0.00427246,0.00491943,
290,-0.0012207,0.00491333,
292,-0.00976563,0.00496216,
294,-0.0012207,0.00489502,
296,-0.00915527,0.00494385,
298,-0.00671387,0.00492554,
300,-0.0012207,0.00490723,
302,-0.00549316,0.00484009,
304,-0.000610352,0.00481567,
306,-0.000610352,0.00474854,
308,-0.00976563,0.00477295,
310,-0.0012207,0.00473633,
312,-0.00488281,0.00472412,
314,-0.00793457,0.00474243,
316,-0.00427246,0.00477905,
318,-0.00366211,0.00474243,
320,-0.00549316,0.00473022,
322,-0.00549316,0.00475464,
324,-0.00427246,0.0046814,
326,0.00183105,0.0046875,
328,-0.0012207,0.00466309,
330,-0.00488281,0.00466919,
332,0.00183105,0.0046875,
334,-0.00915527,0.00469971,
336,-0.00183105,0.00470581,
338,-0.00671387,0.00473022,
340,-0.00305176,0.00471191,
342,-0.00427246,0.00470581,
344,-0.00976563,0.00474854,
346,-0.00915527,0.00479126,
348,-0.00305176,0.00474854,
350,-0.00549316,0.00479736,
352,-0.00976563,0.00481567,
354,0.0012207,0.00480957,
356,-0.00488281,0.00484009,
358,-0.00732422,0.00485229,
360,-0.00244141,0.00484619,
362,-0.00732422,0.00488892,
364,-0.00427246,0.00492554,
366,0,0.0048645,
368,-0.010376,0.00491333,
370,-0.00427246,0.0048645,
372,-0.00427246,0.00490723,
374,-0.00854492,0.00490112,
376,-0.0012207,0.00491333,
378,-0.00671387,0.00491333,
380,-0.00793457,0.00491943,
382,0,0.00490723,
384,-0.0109863,0.00494995,
386,0.0012207,0.0048584,
