Alejandra-C-Musc-ABC-L01
Gráfico creado el:2026-06-03 15:56:04.786
Registro en:2026-06-03 15:56:50.599
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,210252 samples,210252 samples,
0,-0.0506592,0.000506592,
2,-0.0262451,0.000769043,
4,-0.0158691,0.000927734,
6,-0.0177002,0.00110474,
8,-0.0195313,0.00130005,
10,-0.0238037,0.00153809,
12,-0.0177002,0.00171509,
14,-0.0152588,0.00186768,
16,-0.0158691,0.00202637,
18,-0.00854492,0.00211182,
20,-0.012207,0.00223389,
22,-0.00976563,0.00233154,
24,-0.00366211,0.00236816,
26,-0.00427246,0.00241089,
28,0,0.00241089,
30,-0.00488281,0.00245972,
32,-0.00305176,0.00249023,
34,-0.00305176,0.00252075,
36,0,0.00252075,
38,-0.00244141,0.00254517,
40,-0.00610352,0.0026062,
42,-0.00244141,0.00263062,
44,-0.00183105,0.00264893,
46,-0.00549316,0.00270386,
48,0.000610352,0.00270996,
50,-0.00488281,0.00275879,
52,-0.000610352,0.00276489,
54,-0.00427246,0.00280762,
56,-0.00488281,0.00285645,
58,0.00427246,0.00289917,
60,-0.00488281,0.002948,
62,-0.00244141,0.00297241,
64,-0.000610352,0.00297852,
66,-0.00244141,0.00300293,
68,0.00305176,0.00303345,
70,0,0.00303345,
72,-0.0012207,0.00304565,
74,0.00305176,0.00307617,
76,-0.000610352,0.00308228,
78,0.00244141,0.00310669,
80,0,0.00310669,
82,0.0012207,0.0031189,
84,-0.00244141,0.00314331,
86,0.00183105,0.00316162,
88,-0.0012207,0.00317383,
90,-0.00366211,0.00321045,
92,0.000610352,0.00321655,
94,-0.0012207,0.00322876,
96,0.0012207,0.00324097,
98,-0.00488281,0.00328979,
100,-0.00244141,0.00331421,
102,0.0012207,0.00332642,
104,-0.00610352,0.00338745,
106,-0.00183105,0.00340576,
108,-0.00366211,0.00344238,
110,-0.00488281,0.00349121,
112,-0.00488281,0.00354004,
114,-0.00305176,0.00357056,
116,-0.00915527,0.00366211,
118,0.000610352,0.00366821,
120,-0.00427246,0.00371094,
122,0.00183105,0.00372925,
124,-0.000610352,0.00373535,
126,-0.00488281,0.00378418,
128,0,0.00378418,
130,0.00305176,0.0038147,
132,0.0012207,0.0038269,
134,-0.00488281,0.00387573,
136,0.00183105,0.00389404,
138,-0.0012207,0.00390625,
