AnaPao-A-Musc-ABC-L01
Gráfico creado el:2026-06-05 13:25:38.298
Registro en:2026-06-05 13:27:34.816
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,558098 samples,558098 samples,
0,0.0012207,1.2207E-05,
2,0.00366211,4.88281E-05,
4,0.00671387,0.000115967,
6,-0.00610352,0.000177002,
8,0.00244141,0.000201416,
10,-0.00976563,0.000299072,
12,-0.000610352,0.000305176,
14,0.00732422,0.000378418,
16,-0.00183105,0.000396729,
18,-0.00488281,0.000445557,
20,-0.00244141,0.000469971,
22,0.00244141,0.000494385,
24,0.012207,0.000616455,
26,-0.00366211,0.000653076,
28,0.00488281,0.000701904,
30,-0.00549316,0.000756836,
32,0.00244141,0.00078125,
34,-0.000610352,0.000787354,
36,-0.00366211,0.000823975,
38,0.0128174,0.000952148,
40,-0.00427246,0.000994873,
42,-0.010376,0.00109863,
44,-0.0012207,0.00111084,
46,0.00427246,0.00115356,
48,0.00488281,0.00120239,
50,-0.00488281,0.00125122,
52,-0.000610352,0.00125732,
54,-0.0012207,0.00126953,
56,-0.00549316,0.00132446,
58,-0.0012207,0.00133667,
60,0.00305176,0.00136719,
62,0.0012207,0.00137939,
64,0.000610352,0.0013855,
66,-0.0012207,0.00139771,
68,0.012207,0.00151978,
70,-0.000610352,0.00152588,
72,-0.00549316,0.00158081,
74,0.00488281,0.00162964,
76,0.000610352,0.00163574,
78,0.00671387,0.00170288,
80,-0.00427246,0.00174561,
82,-0.00183105,0.00176392,
84,-0.000610352,0.00177002,
86,0.0012207,0.00178223,
88,0.0012207,0.00179443,
90,0.00366211,0.00183105,
92,0.00854492,0.0019165,
94,0,0.0019165,
96,-0.00366211,0.00195313,
98,0.0012207,0.00196533,
100,0.0170898,0.00213623,
102,-0.00488281,0.00218506,
104,-0.00671387,0.0022522,
106,0.00732422,0.00232544,
108,-0.00366211,0.00236206,
110,0.00366211,0.00239868,
112,0.00488281,0.00244751,
114,-0.00244141,0.00247192,
116,0.00427246,0.00251465,
