AnaPao-B-Musc-ABC-L01
Gráfico creado el:2026-06-05 13:47:46.458
Registro en:2026-06-05 13:48:25.715
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,313592 samples,313592 samples,
0,0.000610352,6.10352E-06,
2,0.00671387,7.32422E-05,
4,-0.0231934,0.000305176,
6,-0.0390625,0.000695801,
8,-0.0482178,0.00117798,
10,-0.0372314,0.00155029,
12,-0.0378418,0.00192871,
14,-0.0299072,0.00222778,
16,-0.020752,0.0024353,
18,-0.00244141,0.00245972,
20,-0.0219727,0.00267944,
22,-0.00732422,0.00275269,
24,0.0109863,0.00286255,
26,-0.00793457,0.00294189,
28,0.0012207,0.0029541,
30,0.00244141,0.00297852,
32,0.00366211,0.00301514,
34,-0.010376,0.0031189,
36,0.0274658,0.00339355,
38,-0.0152588,0.00354614,
40,-0.0158691,0.00370483,
42,-0.00183105,0.00372314,
44,-0.0183105,0.00390625,
46,0.00305176,0.00393677,
48,-0.00366211,0.00397339,
50,0.0115967,0.00408936,
52,0.0201416,0.00429077,
54,0.0268555,0.00455933,
56,0.012207,0.0046814,
58,-0.00793457,0.00476074,
60,0.0408936,0.00516968,
62,-0.00732422,0.00524292,
64,-0.00610352,0.00530396,
66,-0.0109863,0.00541382,
68,-0.0396729,0.00581055,
70,-0.0280762,0.00609131,
72,-0.0146484,0.00623779,
74,-0.0012207,0.00625,
76,-0.00427246,0.00629272,
78,-0.00671387,0.00635986,
80,-0.0238037,0.0065979,
82,0.0183105,0.00678101,
84,0,0.00678101,
86,-0.00549316,0.00683594,
88,0.010376,0.0069397,
90,-0.0012207,0.0069519,
92,-0.0408936,0.00736084,
94,0.00732422,0.00743408,
96,0.0256348,0.00769043,
98,-0.0134277,0.00782471,
100,-0.0146484,0.00797119,
102,-0.0189209,0.0081604,
104,-0.0170898,0.0083313,
106,-0.0146484,0.00847778,
108,-0.0354004,0.00883179,
110,-0.0146484,0.00897827,
112,-0.00793457,0.00905762,
114,-0.00366211,0.00909424,
116,-0.0213623,0.00930786,
118,0.00793457,0.00938721,
120,0.00366211,0.00942383,
122,0.0115967,0.00953979,
124,-0.00610352,0.00960083,
126,0.0231934,0.00983276,
128,0.00793457,0.00991211,
130,-0.0164795,0.0100769,
132,-0.00793457,0.0101563,
134,-0.00976563,0.0102539,
136,0.00366211,0.0102905,
138,-0.00305176,0.010321,
140,-0.0109863,0.0104309,
142,-0.000610352,0.010437,
144,-0.000610352,0.0104431,
146,-0.00915527,0.0105347,
148,0.0390625,0.0109253,
150,0.022583,0.0111511,
152,0.00915527,0.0112427,
154,-0.020752,0.0114502,
156,0.0177002,0.0116272,
158,-0.00976563,0.0117249,
160,-0.0280762,0.0120056,
162,-0.0170898,0.0121765,
164,-0.0280762,0.0124573,
166,-0.0189209,0.0126465,
168,-0.0213623,0.0128601,
170,-0.00549316,0.012915,
172,-0.020752,0.0131226,
174,0.00549316,0.0131775,
176,-0.00305176,0.013208,
178,-0.00244141,0.0132324,
180,-0.0115967,0.0133484,
182,0.00305176,0.0133789,
184,-0.0189209,0.0135681,
186,-0.00610352,0.0136292,
188,-0.00976563,0.0137268,
190,-0.0146484,0.0138733,
192,0.00244141,0.0138977,
194,-0.00854492,0.0139832,
196,-0.0140381,0.0141235,
198,0.0158691,0.0142822,
200,-0.0164795,0.0144409,
202,-0.00732422,0.014447,
204,-0.0146484,0.0143616,
206,0.0268555,0.0142395,
208,-0.0238037,0.0139954,
210,0.00244141,0.0136475,
212,-0.0152588,0.0134216,
214,0.0231934,0.0133545,
216,0.00671387,0.0132141,
218,0.00915527,0.0132813,
220,-0.0146484,0.013208,
222,-0.0250244,0.013385,
224,0.00427246,0.0133179,
226,0.00488281,0.0132874,
228,-0.0335693,0.0136108,
230,-0.022583,0.0138123,
232,-0.0268555,0.0140442,
234,-0.0183105,0.0141235,
236,-0.0134277,0.0139832,
238,0.00427246,0.0138733,
240,-0.00549316,0.0137695,
242,0.00244141,0.0137756,
244,-0.0012207,0.0136047,
246,0.012207,0.0136963,
248,-0.0146484,0.0138062,
250,0.00854492,0.0137756,
252,-0.0134277,0.0137085,
254,0.00610352,0.013501,
256,-0.0128174,0.0135071,
258,-0.00610352,0.0134888,
260,-0.0140381,0.0132202,
262,-0.00854492,0.0132324,
264,-0.0012207,0.0131836,
266,-0.00671387,0.0131409,
268,-0.000610352,0.0127502,
270,-0.00671387,0.0125366,
272,-0.0109863,0.0125,
274,0.00549316,0.0125427,
276,0.00244141,0.0125244,
278,0.00549316,0.0125122,
280,-0.0366211,0.0126404,
282,0.0183105,0.0126404,
284,0.000610352,0.0126465,
286,-0.020752,0.0127991,
288,-0.00366211,0.0127319,
290,-0.00854492,0.0128052,
292,-0.00610352,0.0124573,
294,-0.000610352,0.0123901,
296,-0.0262451,0.0123962,
298,0.00488281,0.0123108,
300,-0.00610352,0.0122253,
302,0.0128174,0.0121643,
304,-0.0146484,0.0121399,
306,-0.0195313,0.0121887,
308,0.00244141,0.0118591,
310,0.00183105,0.011731,
312,-0.0140381,0.011792,
314,-0.0177002,0.0119324,
316,-0.00976563,0.0118164,
318,-0.0115967,0.011853,
320,-0.00244141,0.0118408,
322,-0.0109863,0.0118347,
324,0.00244141,0.0117981,
326,-0.00427246,0.0116089,
328,0.00610352,0.0115906,
330,-0.00671387,0.0114929,
332,0.00549316,0.0114685,
334,-0.00915527,0.0114624,
336,-0.00610352,0.0114868,
338,-0.00488281,0.0115051,
340,-0.012207,0.0115173,
342,0.00610352,0.0115723,
344,-0.022583,0.011792,
346,-0.000610352,0.0117065,
348,0.0146484,0.0114624,
350,-0.0140381,0.011377,
352,0.0201416,0.0114868,
354,-0.00793457,0.0113586,
356,-0.0177002,0.0113586,
358,-0.00549316,0.0113159,
360,-0.00671387,0.0111023,
362,-0.00427246,0.0109741,
364,-0.0189209,0.0108826,
366,-0.012207,0.0108154,
368,0.010376,0.0107056,
370,-0.0134277,0.0107849,
372,0.0012207,0.0105896,
374,0.00915527,0.0106262,
376,-0.00549316,0.0106506,
378,0.00854492,0.0107117,
380,-0.00671387,0.0106628,
382,0.0134277,0.0107666,
384,0.00244141,0.0106018,
386,-0.0140381,0.0106812,
388,-0.010376,0.0106873,
390,-0.00183105,0.0105591,
392,-0.00183105,0.010553,
394,-0.0152588,0.0106201,
396,0.00366211,0.0105164,
398,-0.0292969,0.0106506,
400,-0.0012207,0.010498,
402,-0.00183105,0.0104431,
404,-0.0195313,0.0104919,
406,-0.0012207,0.0102356,
408,0.00183105,0.0100159,
410,-0.0201416,0.0101929,
412,-0.00976563,0.0101379,
414,0,0.00990601,
416,-0.00305176,0.00986938,
418,-0.012207,0.0098999,
420,-0.00244141,0.00977783,
422,0,0.00952759,
424,-0.020752,0.00969238,
426,0.020752,0.00985107,
428,-0.00671387,0.00958252,
430,-0.00366211,0.00939331,
432,-0.0012207,0.00913696,
434,0.00610352,0.00901489,
436,-0.00305176,0.00891113,
438,-0.0201416,0.00906982,
440,0,0.00901489,
442,-0.0177002,0.00916748,
444,0.00305176,0.00918579,
446,-0.0189209,0.00925293,
448,-0.0305176,0.00941162,
450,-0.00671387,0.00939331,
452,-0.0109863,0.0093689,
454,-0.0140381,0.00944824,
456,-0.00549316,0.009375,
458,-0.000610352,0.00932007,
460,-0.0219727,0.00939941,
462,-0.0238037,0.009552,
464,-0.000610352,0.0095459,
466,-0.00488281,0.00952759,
468,-0.00915527,0.00961304,
470,-0.0140381,0.00968628,
472,-0.00854492,0.00966187,
474,-0.0012207,0.00961914,
476,-0.00976563,0.00969238,
478,0.00732422,0.00971069,
480,0.00854492,0.00942993,
482,-0.00671387,0.00931396,
484,-0.0158691,0.00946655,
486,0.0408936,0.00966797,
488,-0.0360107,0.00999146,
490,0.022583,0.0101318,
492,-0.00244141,0.0100952,
494,-0.012207,0.0102112,
496,-0.0219727,0.0101685,
498,-0.0109863,0.0102295,
500,-0.0299072,0.0104675,
502,0.0140381,0.0104797,
504,-0.0244141,0.0105774,
506,-0.0280762,0.0106628,
508,-0.0189209,0.0108276,
510,0,0.0108093,
512,-0.00793457,0.0107483,
514,-0.00732422,0.0106445,
516,0.0109863,0.0106567,
518,0.0195313,0.0107361,
520,-0.0311279,0.0110229,
522,-0.0152588,0.0110657,
524,0.00305176,0.0110718,
526,0.00732422,0.0111023,
528,-0.00854492,0.0111267,
530,-0.0341797,0.0114014,
532,-0.00549316,0.0114014,
534,-0.0134277,0.0114441,
536,-0.012207,0.0115051,
538,0.00610352,0.0115173,
540,-0.0128174,0.0115234,
542,-0.0146484,0.0116089,
544,-0.00610352,0.0114441,
546,-0.00244141,0.0114624,
548,-0.00671387,0.0113831,
550,0.0177002,0.0114197,
552,-0.0250244,0.0114685,
554,0.00305176,0.0114197,
556,-0.0012207,0.0112549,
558,0.0146484,0.0113464,
560,-0.0146484,0.0114258,
562,-0.000610352,0.0113892,
564,-0.0109863,0.0113098,
566,-0.0012207,0.0112,
568,-0.0152588,0.0112488,
570,0.00610352,0.0111755,
572,-0.0146484,0.0113098,
574,-0.00671387,0.0112854,
576,-0.0012207,0.0112427,
578,-0.00183105,0.0111755,
580,-0.00732422,0.0111816,
582,0.00488281,0.0110962,
584,0.00671387,0.0111389,
586,0.00183105,0.0110168,
588,-0.0189209,0.0111023,
590,-0.0140381,0.0112244,
592,0.0262451,0.0114685,
594,-0.00915527,0.0114075,
596,-0.00244141,0.0113953,
598,0.00244141,0.0111267,
600,-0.0012207,0.0111267,
602,-0.00976563,0.0112061,
604,0.0201416,0.0112122,
606,0.00854492,0.0112854,
608,-0.022583,0.0114929,
610,-0.00793457,0.0113708,
612,-0.00854492,0.0113586,
614,-0.00671387,0.0114258,
616,-0.00488281,0.0114441,
618,-0.0286865,0.0116089,
620,-0.020752,0.011792,
622,0.0128174,0.0119202,
624,-0.0201416,0.0119141,
626,-0.00671387,0.0117737,
628,-0.0170898,0.0118774,
630,0.0274658,0.0121155,
632,-0.00549316,0.0121582,
634,-0.0274658,0.0123718,
636,0.00793457,0.0124207,
638,-0.00183105,0.0122375,
640,-0.00366211,0.0122742,
642,-0.000610352,0.0121033,
644,-0.0134277,0.012207,
646,-0.0012207,0.01203,
648,0.0109863,0.0118347,
650,0.00915527,0.0118591,
652,0.0152588,0.0119019,
654,-0.00671387,0.0118286,
656,0.00244141,0.0117981,
658,0.0238037,0.01203,
660,-0.0109863,0.0119202,
662,-0.00488281,0.011731,
664,0.00183105,0.0117432,
666,-0.00244141,0.0117188,
668,-0.0128174,0.0117554,
670,0.0152588,0.0117676,
672,0.00427246,0.0117249,
674,-0.0213623,0.0119263,
676,-0.0152588,0.0119812,
678,0.0140381,0.0120483,
680,-0.00732422,0.0120361,
682,-0.0012207,0.0119812,
684,-0.0372314,0.0121948,
686,-0.0146484,0.0119324,
688,0.0183105,0.0117554,
690,-0.0201416,0.011731,
692,-0.00366211,0.0117432,
694,0.000610352,0.0116272,
696,-0.00183105,0.0114258,
698,-0.0146484,0.0114624,
700,0.00305176,0.0111938,
702,-0.00671387,0.0111206,
704,-0.0012207,0.0108887,
706,-0.00793457,0.0106873,
708,0.0183105,0.0106812,
710,-0.0134277,0.0108154,
712,-0.0109863,0.0108459,
714,0.00854492,0.0108582,
716,-0.0115967,0.0108643,
718,-0.0140381,0.0108093,
720,-0.00854492,0.0105835,
722,-0.00244141,0.0104553,
724,-0.00915527,0.0105164,
726,-0.00732422,0.0105164,
728,-0.00854492,0.0105164,
730,-0.0177002,0.0103516,
732,-0.00793457,0.010376,
734,-0.0134277,0.010376,
736,0.00244141,0.0102783,
738,0.00610352,0.0102783,
740,-0.0421143,0.0105713,
742,-0.020752,0.0106323,
744,0.00793457,0.0106506,
746,-0.022583,0.0108521,
748,-0.00610352,0.0108459,
750,-0.0311279,0.0109802,
752,-0.0183105,0.0109131,
754,-0.0195313,0.0110779,
756,-0.0335693,0.0114014,
758,0.0262451,0.0115173,
760,-0.0213623,0.0115845,
762,-0.0201416,0.0117798,
764,-0.0262451,0.0119324,
766,0.00244141,0.0119446,
768,-0.0146484,0.0119385,
770,-0.0244141,0.0121216,
772,-0.00915527,0.0120667,
774,-0.0195313,0.0121948,
776,-0.0238037,0.0124207,
778,-0.0115967,0.0125183,
780,-0.00915527,0.0125366,
782,-0.0115967,0.0126038,
784,0.00488281,0.0125854,
786,-0.00915527,0.0126587,
788,-0.0195313,0.0126648,
790,0.000610352,0.0125305,
792,0.010376,0.0123718,
794,-0.0219727,0.0125,
796,-0.0012207,0.0124878,
798,0.0213623,0.012677,
800,0.010376,0.0127686,
802,-0.00976563,0.0127686,
804,-0.00915527,0.0126587,
806,0.00976563,0.0126709,
808,-0.0012207,0.0124573,
810,0.00732422,0.0124512,
812,-0.0140381,0.0125061,
814,-0.0256348,0.0126953,
816,-0.00671387,0.0127136,
818,0.010376,0.0125305,
820,-0.0146484,0.0124695,
822,-0.0140381,0.0124817,
824,-0.00427246,0.012323,
826,0.00244141,0.0122803,
828,-0.0012207,0.0121216,
830,-0.00244141,0.0118713,
832,-0.00427246,0.0118591,
834,0.00549316,0.0116394,
836,-0.00183105,0.0115784,
838,-0.00244141,0.0115845,
840,-0.00915527,0.0116394,
842,-0.00488281,0.0116821,
844,0.0012207,0.0115601,
846,-0.0195313,0.0117432,
848,-0.00793457,0.0117126,
850,0.00854492,0.0117065,
852,-0.0201416,0.0117554,
854,0.0146484,0.0118347,
856,-0.0146484,0.0119568,
858,-0.00427246,0.0117615,
860,0.00183105,0.0116699,
862,-0.000610352,0.0116272,
864,0.00305176,0.0116394,
866,0.00915527,0.0117065,
868,-0.0219727,0.0117981,
870,0.00305176,0.011676,
872,0.00671387,0.0117004,
874,-0.0109863,0.0115967,
876,-0.012207,0.0115662,
878,-0.00976563,0.0115234,
880,0.00610352,0.0115112,
882,-0.0128174,0.0116272,
884,-0.00854492,0.0113403,
886,-0.012207,0.0113159,
888,0.00793457,0.0112122,
890,-0.00671387,0.0110779,
892,-0.00549316,0.0110962,
894,0.0128174,0.0112183,
896,-0.00854492,0.0112854,
898,-0.00671387,0.0112061,
900,-0.00610352,0.0112366,
902,-0.00793457,0.0112488,
904,0.00183105,0.0112549,
906,-0.010376,0.0112793,
908,-0.00976563,0.0111938,
910,-0.010376,0.0111633,
912,-0.00732422,0.0111267,
914,0.000610352,0.0110474,
916,-0.0152588,0.011084,
918,0.0274658,0.0112183,
920,-0.03479,0.0114807,
922,0.00732422,0.0115295,
924,-0.0195313,0.0116333,
926,0.0146484,0.0117065,
928,-0.00244141,0.0116455,
930,-0.020752,0.011676,
932,-0.022583,0.0118225,
934,0.00366211,0.0117249,
936,-0.0146484,0.0118469,
938,-0.0213623,0.0119995,
940,-0.0115967,0.0116943,
942,-0.00793457,0.0115662,
944,-0.0109863,0.0115967,
946,-0.0201416,0.0115723,
948,0.0128174,0.0116394,
950,-0.0128174,0.0114563,
952,-0.00671387,0.0113403,
954,-0.00183105,0.0111633,
956,0.00549316,0.0108826,
958,-0.00671387,0.0106873,
960,-0.00488281,0.0105225,
962,-0.00488281,0.0103699,
964,-0.00183105,0.0101257,
966,0.00671387,0.0101685,
968,-0.0115967,0.0101379,
970,-0.00183105,0.00991211,
972,-0.00732422,0.0098938,
974,0.00915527,0.00979004,
976,-0.00244141,0.00957642,
978,0,0.00946045,
980,-0.0158691,0.00952759,
982,0.000610352,0.00941772,
984,0.0146484,0.00951538,
986,-0.010376,0.00952759,
988,0.00671387,0.00939941,
990,0.0012207,0.00940552,
992,-0.0109863,0.00941162,
994,-0.00549316,0.00924683,
996,-0.00183105,0.00925293,
998,-0.00244141,0.00906372,
1000,-0.00671387,0.0090271,
1002,-0.0012207,0.00894165,
1004,-0.00488281,0.00889893,
1006,-0.012207,0.00892334,
1008,0.0012207,0.00892334,
1010,0.00366211,0.00888672,
1012,-0.00244141,0.00877075,
1014,-0.0152588,0.00866699,
1016,-0.000610352,0.00860596,
1018,-0.00671387,0.00856934,
1020,-0.000610352,0.00842896,
1022,-0.0109863,0.00839844,
1024,-0.0158691,0.0085144,
1026,0.0140381,0.00863037,
1028,0.00366211,0.00865479,
1030,-0.010376,0.00873413,
1032,-0.00610352,0.00875244,
1034,-0.00305176,0.00872803,
1036,-0.000610352,0.00871582,
1038,-0.00427246,0.00873413,
1040,-0.00793457,0.00872192,
1042,-0.0146484,0.00881958,
