AnaPao-C-Musc-ABC-L01
Gráfico creado el:2026-06-05 13:59:57.402
Registro en:2026-06-05 14:00:35.749
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,353646 samples,353646 samples,
0,-0.00671387,6.71387E-05,
2,-0.00671387,0.000134277,
4,-0.00671387,0.000201416,
6,-0.00244141,0.00022583,
8,-0.010376,0.00032959,
10,-0.00976563,0.000427246,
12,-0.00610352,0.000488281,
14,-0.00915527,0.000579834,
16,-0.00732422,0.000653076,
18,-0.010376,0.000756836,
20,-0.010376,0.000860596,
22,-0.00854492,0.000946045,
24,-0.00854492,0.00103149,
26,-0.010376,0.00113525,
28,-0.00854492,0.0012207,
30,-0.00915527,0.00131226,
32,-0.00732422,0.0013855,
34,-0.00793457,0.00146484,
36,-0.00793457,0.00154419,
38,-0.00854492,0.00162964,
40,-0.010376,0.0017334,
42,-0.00671387,0.00180054,
44,-0.00793457,0.00187988,
46,-0.00854492,0.00196533,
48,-0.00976563,0.00206299,
50,-0.0109863,0.00217285,
52,-0.00610352,0.00223389,
54,-0.00793457,0.00231323,
56,-0.00732422,0.00238647,
58,-0.00671387,0.00245361,
60,-0.00732422,0.00252686,
62,-0.00671387,0.00259399,
64,-0.00488281,0.00264282,
66,-0.00610352,0.00270386,
68,-0.00366211,0.00274048,
70,-0.00610352,0.00280151,
72,-0.0012207,0.00281372,
74,-0.0152588,0.00296631,
76,-0.00671387,0.00303345,
78,-0.00305176,0.00306396,
80,-0.00610352,0.003125,
82,-0.00854492,0.00321045,
84,-0.0109863,0.00332031,
86,-0.00793457,0.00339966,
88,-0.00366211,0.00343628,
90,-0.00854492,0.00352173,
92,-0.00915527,0.00361328,
94,-0.00305176,0.0036438,
96,-0.00976563,0.00374146,
98,-0.00732422,0.0038147,
100,-0.00610352,0.00387573,
102,-0.00793457,0.00395508,
104,-0.00854492,0.00404053,
106,-0.00183105,0.00405884,
108,-0.0115967,0.0041748,
110,-0.00610352,0.00423584,
112,-0.00549316,0.00429077,
114,-0.00976563,0.00438843,
116,-0.00549316,0.00444336,
118,-0.00427246,0.00448608,
120,-0.0134277,0.00462036,
122,-0.00732422,0.0046936,
124,-0.00671387,0.00476074,
126,-0.00915527,0.00485229,
128,-0.010376,0.00495605,
130,-0.00854492,0.0050415,
132,-0.00854492,0.00512695,
134,-0.010376,0.00523071,
136,-0.00915527,0.00532227,
138,-0.010376,0.00542603,
140,-0.00854492,0.00551147,
142,-0.00915527,0.00560303,
144,-0.00976563,0.00570068,
146,-0.00854492,0.00578613,
148,-0.00915527,0.00587769,
150,-0.010376,0.00598145,
152,-0.00427246,0.00602417,
154,-0.0158691,0.00618286,
156,-0.0109863,0.00629272,
158,0,0.00629272,
160,-0.0128174,0.0064209,
162,-0.00854492,0.00650635,
164,-0.00732422,0.00657959,
166,-0.0109863,0.00668945,
168,-0.00671387,0.00675659,
