Dani_A_1-L01
Gráfico creado el:2026-06-03 16:09:48.152
Registro en:2026-06-03 16:28:36.906
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,87298 samples,87298 samples,
0,-0.0189209,0.000189209,
2,0.00183105,0.00020752,
4,-0.020752,0.000415039,
6,-0.0189209,0.000604248,
8,-0.010376,0.000708008,
10,-0.0164795,0.000872803,
12,-0.00549316,0.000927734,
14,0,0.000927734,
16,-0.00305176,0.000958252,
18,-0.00488281,0.00100708,
20,-0.00976563,0.00110474,
22,-0.00976563,0.00120239,
24,-0.0128174,0.00133057,
26,-0.0170898,0.00150146,
28,-0.00244141,0.00152588,
30,-0.00915527,0.00161743,
32,-0.000610352,0.00162354,
34,-0.00915527,0.00171509,
36,-0.00610352,0.00177612,
38,0.00366211,0.00181274,
40,-0.000610352,0.00181885,
42,0.0128174,0.00194702,
44,0.00610352,0.00200806,
46,-0.0134277,0.00214233,
48,-0.00183105,0.00216064,
50,-0.00915527,0.0022522,
52,0.00976563,0.00234985,
54,0.0012207,0.00236206,
56,-0.00671387,0.0024292,
58,-0.0115967,0.00254517,
60,-0.0140381,0.00268555,
62,0.00549316,0.00274048,
64,0.0012207,0.00275269,
66,0.00854492,0.00283813,
68,0.00305176,0.00286865,
70,-0.0170898,0.00303955,
72,0.00488281,0.00308838,
74,-0.0012207,0.00310059,
76,0.00976563,0.00319824,
78,-0.0183105,0.00338135,
80,-0.0177002,0.00355835,
82,-0.0109863,0.00366821,
84,-0.010376,0.00377197,
86,-0.00549316,0.0038269,
88,-0.010376,0.00393066,
90,-0.0213623,0.00414429,
92,0.0012207,0.00415649,
94,0.00366211,0.00419312,
96,-0.00854492,0.00427856,
98,-0.0158691,0.00443726,
100,-0.020752,0.00464478,
102,0.0012207,0.00465698,
104,-0.0183105,0.00484009,
106,-0.0134277,0.00497437,
108,0.000610352,0.00498047,
110,-0.00244141,0.00500488,
112,-0.00427246,0.00504761,
114,-0.00488281,0.00509644,
116,0.000610352,0.00510254,
118,0.00854492,0.00518799,
120,-0.00427246,0.00523071,
122,-0.00305176,0.00526123,
124,-0.00366211,0.00529785,
126,0.00549316,0.00535278,
128,0.00366211,0.0053894,
130,-0.00610352,0.00545044,
132,-0.0250244,0.00570068,
134,-0.00915527,0.00579224,
136,0.00854492,0.00587769,
138,-0.0274658,0.00615234,
140,-0.0128174,0.00628052,
142,-0.0109863,0.00639038,
144,-0.0158691,0.00654907,
146,0.00610352,0.00661011,
148,-0.00305176,0.00664063,
150,-0.0134277,0.0067749,
152,0.010376,0.00687866,
154,-0.00488281,0.00692749,
156,-0.0140381,0.00706787,
158,-0.010376,0.00717163,
160,-0.0244141,0.00741577,
