Dani_B_2-L01
Gráfico creado el:2026-06-03 16:41:35.616
Registro en:2026-06-03 16:43:34.620
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,89674 samples,89674 samples,
0,-0.00793457,7.93457E-05,
2,-0.00671387,0.000146484,
4,-0.00488281,0.000195313,
6,-0.0012207,0.00020752,
8,-0.00183105,0.00022583,
10,-0.00732422,0.000299072,
12,-0.00976563,0.000396729,
14,0.00610352,0.000457764,
16,-0.0152588,0.000610352,
18,-0.012207,0.000732422,
20,-0.00366211,0.000769043,
22,-0.0109863,0.000878906,
24,-0.0128174,0.00100708,
26,0,0.00100708,
28,-0.00732422,0.00108032,
30,-0.00671387,0.00114746,
32,-0.00732422,0.0012207,
34,-0.00366211,0.00125732,
36,-0.00366211,0.00129395,
38,0.00366211,0.00133057,
40,0.00244141,0.00135498,
42,0.00610352,0.00141602,
44,-0.0146484,0.0015625,
46,-0.00976563,0.00166016,
48,0.0012207,0.00167236,
50,-0.00610352,0.0017334,
52,-0.00488281,0.00178223,
54,-0.00976563,0.00187988,
56,-0.022583,0.00210571,
58,-0.00549316,0.00216064,
60,0.0012207,0.00217285,
62,0.00244141,0.00219727,
64,0.00976563,0.00229492,
66,0.00183105,0.00231323,
68,0.010376,0.00241699,
70,0.00915527,0.00250854,
72,-0.0250244,0.00275879,
74,-0.0012207,0.002771,
76,-0.000610352,0.0027771,
78,-0.00976563,0.00287476,
80,-0.0201416,0.00307617,
82,-0.010376,0.00317993,
84,-0.00915527,0.00327148,
86,-0.000610352,0.00327759,
88,0.0115967,0.00339355,
90,-0.00610352,0.00345459,
92,0.00183105,0.0034729,
94,0.0012207,0.00348511,
96,0.00976563,0.00358276,
98,0.0012207,0.00359497,
100,-0.0146484,0.00374146,
102,-0.00488281,0.00379028,
104,-0.00610352,0.00385132,
106,-0.0115967,0.00396729,
108,-0.00488281,0.00401611,
110,-0.00183105,0.00403442,
112,-0.0012207,0.00404663,
114,-0.00244141,0.00407104,
116,-0.0134277,0.00420532,
118,-0.0128174,0.0043335,
120,0.00549316,0.00438843,
122,-0.00244141,0.00441284,
124,-0.0140381,0.00455322,
126,-0.0109863,0.00466309,
128,-0.00427246,0.00470581,
130,-0.00488281,0.00475464,
132,-0.00366211,0.00479126,
134,-0.0140381,0.00493164,
136,-0.000610352,0.00493774,
138,0.00488281,0.00498657,
140,-0.0152588,0.00513916,
142,-0.010376,0.00524292,
144,-0.00793457,0.00532227,
146,-0.0115967,0.00543823,
148,-0.00915527,0.00552979,
150,-0.010376,0.00563354,
152,-0.00915527,0.0057251,
154,-0.00732422,0.00579834,
156,0,0.00579834,
158,0.00793457,0.00587769,
160,0.00549316,0.00593262,
162,-0.020752,0.00614014,
164,-0.00305176,0.00617065,
166,0.00671387,0.00623779,
168,-0.00854492,0.00632324,
170,-0.0170898,0.00649414,
172,-0.0109863,0.006604,
174,-0.0012207,0.00661621,
176,-0.00305176,0.00664673,
178,-0.00427246,0.00668945,
180,0.000610352,0.00669556,
182,-0.00366211,0.00673218,
184,0.000610352,0.00673828,
186,0.00427246,0.00678101,
188,-0.00366211,0.00681763,
190,-0.00976563,0.00691528,
192,-0.00915527,0.00700684,
194,0.00305176,0.00703735,
196,-0.00244141,0.00706177,
198,-0.00671387,0.00712891,
200,-0.00427246,0.00709229,
202,0.00549316,0.00708008,
204,-0.00183105,0.00704956,
206,-0.0146484,0.00718384,
208,0.00183105,0.00718384,
210,-0.00976563,0.00720825,
212,-0.00976563,0.00720825,
214,0.00427246,0.00718994,
216,-0.00915527,0.00712891,
218,0.000610352,0.00701294,
220,-0.00183105,0.00699463,
222,-0.000610352,0.00689087,
224,-0.00671387,0.00682983,
226,-0.00305176,0.00686035,
228,0.00183105,0.00680542,
230,-0.00305176,0.0067688,
232,-0.00671387,0.0067627,
234,-0.00854492,0.00681152,
236,-0.00732422,0.00684814,
238,-0.0012207,0.00682373,
240,0.0012207,0.00681152,
242,-0.00427246,0.00679321,
244,-0.00915527,0.00673828,
246,0.00427246,0.00668335,
248,-0.0012207,0.00668335,
250,-0.0109863,0.00673218,
252,0.00915527,0.0067749,
254,0.0109863,0.00678711,
256,-0.0170898,0.00673218,
258,-0.00610352,0.00673828,
260,-0.00183105,0.00674438,
262,-0.00610352,0.00678101,
264,-0.00854492,0.0067688,
266,-0.0158691,0.00690918,
268,-0.00488281,0.00685425,
270,-0.0134277,0.00689697,
272,-0.00366211,0.00668335,
274,-0.00671387,0.00673828,
276,-0.012207,0.00685425,
278,-0.00854492,0.00684204,
280,-0.0170898,0.00681152,
282,-0.00366211,0.00674438,
284,-0.0128174,0.00678101,
286,-0.0140381,0.00691528,
288,-0.0109863,0.00690918,
290,-0.012207,0.00697021,
292,-0.012207,0.00707397,
294,-0.010376,0.00716553,
296,-0.00732422,0.00714111,
298,0.00549316,0.00718384,
300,-0.0158691,0.00719604,
302,-0.00854492,0.00723267,
304,-0.00366211,0.00720825,
306,-0.000610352,0.00709839,
308,-0.00183105,0.00706787,
310,-0.00976563,0.00714722,
312,0.00183105,0.00715332,
314,0,0.00712891,
316,-0.00854492,0.00708008,
318,-0.00244141,0.00697632,
320,-0.00488281,0.00697021,
322,-0.010376,0.00704956,
324,-0.00549316,0.00696411,
326,0.00183105,0.00687256,
328,-0.00549316,0.00688477,
330,-0.00549316,0.00689087,
332,-0.00610352,0.00691528,
334,-0.00610352,0.00683594,
336,-0.00244141,0.00685425,
338,0.00244141,0.00682983,
340,-0.00549316,0.00673218,
342,-0.00915527,0.00671997,
344,-0.00915527,0.00673218,
346,-0.000610352,0.00662231,
348,-0.000610352,0.00653687,
350,-0.00915527,0.00652466,
352,-0.0012207,0.00644531,
354,0.00549316,0.006427,
356,0,0.006427,
358,-0.0146484,0.00649414,
360,-0.00793457,0.00651855,
362,0.00488281,0.00635986,
364,-0.00793457,0.00640869,
366,-0.0128174,0.00646973,
368,-0.00183105,0.00640259,
370,0,0.00623169,
372,-0.00305176,0.00615234,
374,-0.00915527,0.00623169,
376,-0.0109863,0.00631104,
378,-0.00183105,0.00628662,
380,-0.00854492,0.00636597,
382,-0.0115967,0.00644531,
384,-0.020752,0.00664673,
386,-0.0152588,0.00675659,
388,-0.0134277,0.00685425,
390,-0.0158691,0.00691528,
392,-0.00976563,0.00692139,
394,-0.00732422,0.00696411,
396,-0.0183105,0.0071228,
398,-0.00549316,0.0071106,
