Dani_C_2-L01
Gráfico creado el:2026-06-03 16:47:03.624
Registro en:2026-06-03 16:50:58.918
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,91388 samples,91388 samples,
0,0.00244141,2.44141E-05,
2,0.0213623,0.000238037,
4,-0.00671387,0.000305176,
6,0.0134277,0.000439453,
8,-0.0146484,0.000585937,
10,-0.0115967,0.000701904,
12,-0.0311279,0.00101318,
14,-0.0213623,0.00122681,
16,-0.0164795,0.0013916,
18,-0.0146484,0.00153809,
20,-0.0256348,0.00179443,
22,-0.0213623,0.00200806,
24,-0.0219727,0.00222778,
26,-0.0378418,0.0026062,
28,-0.0299072,0.00290527,
30,-0.0183105,0.00308838,
32,-0.0146484,0.00323486,
34,-0.0152588,0.00338745,
36,-0.0146484,0.00353394,
38,-0.00793457,0.00361328,
40,-0.00915527,0.00370483,
42,-0.00671387,0.00377197,
44,-0.00915527,0.00386353,
46,0.00244141,0.00388794,
48,-0.0158691,0.00404663,
50,-0.00488281,0.00409546,
52,0.00671387,0.0041626,
54,-0.0152588,0.00431519,
56,-0.0115967,0.00443115,
58,0.00366211,0.00446777,
60,-0.00183105,0.00448608,
62,-0.00671387,0.00455322,
64,-0.0250244,0.00480347,
66,0.000610352,0.00480957,
68,-0.00671387,0.00487671,
70,0,0.00487671,
72,0.00610352,0.00493774,
74,-0.0280762,0.00521851,
76,-0.0152588,0.00537109,
78,0.00305176,0.00540161,
80,-0.00732422,0.00547485,
82,-0.0164795,0.00563965,
84,-0.0140381,0.00578003,
86,-0.00854492,0.00586548,
88,-0.0146484,0.00601196,
90,-0.00976563,0.00610962,
92,-0.00854492,0.00619507,
94,-0.00366211,0.00623169,
96,-0.00305176,0.00626221,
98,-0.00793457,0.00634155,
100,-0.00305176,0.00637207,
102,-0.00244141,0.00639648,
104,0.00183105,0.00641479,
106,0.0140381,0.00655518,
108,0.0109863,0.00666504,
110,-0.00244141,0.00668945,
112,-0.00610352,0.00675049,
114,0.000610352,0.00675659,
116,0.0268555,0.00702515,
118,0.0262451,0.0072876,
120,0.0292969,0.00758057,
122,0.000610352,0.00758667,
124,-0.00244141,0.00761108,
126,0.0256348,0.00786743,
128,0.0341797,0.00820923,
130,0.00976563,0.00830688,
132,-0.0341797,0.00864868,
134,-0.0189209,0.00883789,
136,-0.0476074,0.00931396,
138,-0.0317383,0.00963135,
140,-0.0311279,0.00994263,
142,-0.03479,0.0102905,
144,-0.0323486,0.010614,
146,-0.0201416,0.0108154,
148,-0.0152588,0.010968,
150,-0.0170898,0.0111389,
152,-0.0012207,0.0111511,
154,-0.010376,0.0112549,
156,-0.0115967,0.0113708,
158,-0.00732422,0.0114441,
160,-0.0115967,0.0115601,
162,-0.0140381,0.0117004,
164,-0.0152588,0.011853,
166,-0.0134277,0.0119873,
168,-0.00427246,0.01203,
170,-0.00793457,0.0121094,
172,-0.012207,0.0122314,
174,-0.0012207,0.0122437,
176,-0.00793457,0.012323,
178,-0.0109863,0.0124329,
180,-0.00549316,0.0124878,
182,-0.00183105,0.0125061,
184,-0.00183105,0.0125244,
186,-0.00732422,0.0125977,
188,-0.0128174,0.0127258,
190,-0.0164795,0.0128906,
192,-0.0012207,0.0129028,
194,-0.00305176,0.0129333,
196,-0.0128174,0.0130615,
198,-0.012207,0.0131836,
200,-0.00854492,0.0132446,
202,-0.00854492,0.0131165,
204,-0.00671387,0.0131165,
206,-0.0152588,0.0131348,
208,-0.00976563,0.0130859,
210,-0.000610352,0.0129761,
212,0.00244141,0.0126892,
214,-0.0134277,0.0126099,
216,-0.0158691,0.0126038,
218,-0.000610352,0.0124634,
220,-0.00183105,0.0122253,
222,-0.00793457,0.0120911,
224,-0.00671387,0.0119385,
226,-0.00793457,0.0116394,
228,-0.0115967,0.0114563,
230,-0.0146484,0.0114197,
232,-0.00366211,0.0113098,
234,-0.00793457,0.0112366,
236,0.0012207,0.0111023,
238,-0.0262451,0.0112854,
240,-0.00671387,0.011261,
242,-0.00549316,0.0112488,
244,0,0.0111572,
246,-0.0115967,0.0112488,
248,-0.00915527,0.0111816,
250,-0.00549316,0.0111877,
252,0.00305176,0.0111511,
254,-0.0140381,0.0111389,
256,-0.00671387,0.0110901,
258,-0.00671387,0.0111206,
260,0.00793457,0.0111816,
262,-0.0201416,0.0113159,
264,0,0.0110657,
266,-0.00671387,0.0111267,
268,-0.00183105,0.0110779,
270,-0.00427246,0.0111206,
272,0.00488281,0.0111084,
274,-0.00793457,0.010907,
276,0.00183105,0.0107727,
278,-0.00305176,0.0107727,
280,-0.00976563,0.0107971,
282,-0.020752,0.0108398,
284,0.0146484,0.0108459,
286,-0.0231934,0.0109924,
288,0.00610352,0.010907,
290,-0.010376,0.0109131,
292,-0.0189209,0.0110168,
294,0.00488281,0.0110291,
296,-0.00366211,0.0110352,
298,0.0012207,0.010968,
300,-0.010376,0.0110413,
302,0.0152588,0.0111694,
304,0.0177002,0.0113281,
306,0.0286865,0.0114746,
308,0.00671387,0.0114319,
310,-0.0134277,0.0115417,
312,0.00488281,0.0115295,
314,0.0012207,0.0115356,
