Danna3Musculos_B-L01
Gráfico creado el:2026-06-09 14:52:20.219
Registro en:2026-06-09 14:52:43.799
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,271584 samples,271584 samples,
0,-0.00488281,4.88281E-05,
2,-0.00976563,0.000146484,
4,-0.00854492,0.000231934,
6,-0.00549316,0.000286865,
8,-0.00610352,0.0003479,
10,-0.00244141,0.000372314,
12,-0.00366211,0.000408936,
14,-0.000610352,0.000415039,
16,-0.00671387,0.000482178,
18,-0.00549316,0.000537109,
20,-0.00366211,0.00057373,
22,-0.00610352,0.000634766,
24,-0.000610352,0.000640869,
26,-0.00671387,0.000708008,
28,-0.00610352,0.000769043,
30,-0.00366211,0.000805664,
32,-0.00854492,0.000891113,
34,-0.000610352,0.000897217,
36,0.00671387,0.000964355,
38,-0.010376,0.00106812,
40,-0.00366211,0.00110474,
42,-0.00732422,0.00117798,
44,-0.00244141,0.00120239,
46,-0.00549316,0.00125732,
48,-0.00854492,0.00134277,
50,-0.00549316,0.00139771,
52,-0.00549316,0.00145264,
54,-0.0115967,0.0015686,
56,-0.00305176,0.00159912,
58,0,0.00159912,
60,0.00305176,0.00162964,
62,-0.000610352,0.00163574,
64,-0.00732422,0.00170898,
66,-0.010376,0.00181274,
68,-0.00244141,0.00183716,
70,-0.00488281,0.00188599,
72,-0.00915527,0.00197754,
74,-0.00793457,0.00205688,
76,-0.010376,0.00216064,
78,-0.0134277,0.00229492,
80,-0.00244141,0.00231934,
82,-0.00854492,0.00240479,
84,-0.00488281,0.00245361,
86,0,0.00245361,
88,-0.00976563,0.00255127,
90,-0.000610352,0.00255737,
92,-0.00671387,0.00262451,
94,-0.0012207,0.00263672,
96,-0.00732422,0.00270996,
98,-0.00793457,0.00278931,
100,0.000610352,0.00279541,
102,-0.00549316,0.00285034,
104,-0.00732422,0.00292358,
106,-0.000610352,0.00292969,
108,-0.00244141,0.0029541,
110,-0.00183105,0.00297241,
112,-0.00610352,0.00303345,
114,-0.00305176,0.00306396,
116,-0.00244141,0.00308838,
118,-0.00183105,0.00310669,
120,-0.010376,0.00321045,
122,-0.00976563,0.00330811,
124,-0.00549316,0.00336304,
126,-0.00671387,0.00343018,
128,-0.00610352,0.00349121,
130,-0.00244141,0.00351562,
132,-0.00854492,0.00360107,
134,0.00793457,0.00368042,
136,-0.00976563,0.00377808,
138,-0.00549316,0.00383301,
140,0.0109863,0.00394287,
142,-0.0140381,0.00408325,
144,-0.00610352,0.00414429,
146,-0.00610352,0.00420532,
148,-0.00976563,0.00430298,
150,-0.00427246,0.0043457,
152,-0.010376,0.00444946,
154,-0.010376,0.00455322,
156,-0.00549316,0.00460815,
158,-0.00732422,0.0046814,
160,-0.00305176,0.00471191,
162,-0.00427246,0.00475464,
164,-0.00244141,0.00477905,
166,-0.00488281,0.00482788,
168,-0.00854492,0.00491333,
170,-0.00671387,0.00498047,
172,-0.00610352,0.0050415,
174,0,0.0050415,
176,-0.00976563,0.00513916,
178,-0.00793457,0.00521851,
180,-0.000610352,0.00522461,
