Danna3musculos_A-L01
Gráfico creado el:2026-06-09 14:40:23.900
Registro en:2026-06-09 14:41:39.970
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,271382 samples,271382 samples,
0,-0.00793457,7.93457E-05,
2,-0.00671387,0.000146484,
4,0.00976563,0.000244141,
6,-0.020752,0.00045166,
8,-0.00183105,0.000469971,
10,0.0177002,0.000646973,
12,0.00366211,0.000683594,
14,-0.00915527,0.000775146,
16,-0.0231934,0.00100708,
18,-0.00488281,0.00105591,
20,-0.00549316,0.00111084,
22,-0.0134277,0.00124512,
24,-0.0140381,0.0013855,
26,-0.0170898,0.0015564,
28,-0.000610352,0.0015625,
30,-0.00915527,0.00165405,
32,0.00305176,0.00168457,
34,-0.0140381,0.00182495,
36,0.00671387,0.00189209,
38,0.00610352,0.00195313,
40,-0.000610352,0.00195923,
42,-0.0195313,0.00215454,
44,-0.00305176,0.00218506,
46,-0.0146484,0.00233154,
48,-0.00305176,0.00236206,
50,-0.00793457,0.00244141,
52,-0.0152588,0.00259399,
54,-0.00915527,0.00268555,
56,-0.012207,0.00280762,
58,-0.0115967,0.00292358,
60,-0.000610352,0.00292969,
62,0.00732422,0.00300293,
64,-0.0109863,0.00311279,
66,-0.0109863,0.00322266,
68,-0.00671387,0.00328979,
70,0.00305176,0.00332031,
72,-0.00610352,0.00338135,
74,0.00427246,0.00342407,
76,-0.00488281,0.0034729,
78,-0.0164795,0.0036377,
80,-0.00244141,0.00366211,
82,-0.00671387,0.00372925,
84,0.00244141,0.00375366,
86,-0.00976563,0.00385132,
88,0.00793457,0.00393066,
90,-0.00915527,0.00402222,
92,-0.00305176,0.00405273,
94,-0.00793457,0.00413208,
96,-0.0012207,0.00414429,
98,0.0274658,0.00441895,
100,-0.0219727,0.00463867,
102,-0.0164795,0.00480347,
104,-0.00671387,0.00487061,
106,-0.00671387,0.00493774,
108,-0.0109863,0.00504761,
110,-0.0134277,0.00518188,
112,0.00427246,0.00522461,
114,-0.0170898,0.00539551,
116,-0.00244141,0.00541992,
118,-0.0158691,0.00557861,
120,-0.0012207,0.00559082,
122,-0.0134277,0.0057251,
124,0.0012207,0.0057373,
126,-0.010376,0.00584106,
128,-0.010376,0.00594482,
130,-0.00793457,0.00602417,
132,-0.0134277,0.00615845,
134,-0.0128174,0.00628662,
136,0.00732422,0.00635986,
138,0.00183105,0.00637817,
140,-0.022583,0.006604,
142,-0.00793457,0.00668335,
144,0.000610352,0.00668945,
146,-0.00793457,0.0067688,
148,0.00183105,0.00678711,
150,-0.00732422,0.00686035,
152,0.00366211,0.00689697,
154,-0.0128174,0.00702515,
156,-0.00854492,0.0071106,
158,0.00610352,0.00717163,
160,-0.0201416,0.00737305,
162,0.00610352,0.00743408,
164,-0.0109863,0.00754395,
166,-0.00244141,0.00756836,
168,-0.00610352,0.00762939,
170,-0.00671387,0.00769653,
172,-0.00854492,0.00778198,
174,0,0.00778198,
176,0.0012207,0.00779419,
178,0.00732422,0.00786743,
180,-0.00610352,0.00792847,
182,-0.00183105,0.00794678,
184,-0.00366211,0.0079834,
186,0.0012207,0.00799561,
188,0.00183105,0.00801392,
190,-0.00915527,0.00810547,
192,-0.00549316,0.0081604,
194,0,0.0081604,
196,-0.0177002,0.0083374,
198,-0.00427246,0.00838013,
200,-0.00305176,0.0083313,
202,-0.0115967,0.00838013,
204,0.00732422,0.00835571,
206,-0.0189209,0.0083374,
208,-0.00976563,0.00841675,
210,-0.00915527,0.0083313,
212,-0.00793457,0.00837402,
214,-0.00732422,0.00835571,
216,-0.012207,0.00824585,
218,-0.00732422,0.00827026,
220,-0.00366211,0.00825195,
222,0.00244141,0.00814209,
224,-0.0219727,0.00822144,
226,0.0128174,0.00817871,
228,0.00427246,0.00821533,
230,-0.00854492,0.00820923,
232,-0.00915527,0.00827026,
234,0.00183105,0.00814819,
236,-0.00915527,0.00817261,
238,0.000610352,0.00811768,
240,-0.0109863,0.00822144,
242,-0.0231934,0.00825806,
244,0.00671387,0.00829468,
246,-0.00976563,0.00824585,
248,-0.00427246,0.00825806,
250,0.00671387,0.00824585,
252,0.00610352,0.0081543,
254,-0.00732422,0.00813599,
256,0,0.00801392,
258,0.0305176,0.00820313,
260,-0.0183105,0.00838013,
262,-0.00976563,0.00840454,
264,-0.00915527,0.00838623,
266,-0.00854492,0.00836182,
268,-0.00610352,0.00835571,
270,-0.0231934,0.00855713,
272,-0.00366211,0.00853271,
274,-0.0177002,0.00866699,
276,-0.00366211,0.00865479,
278,0.0134277,0.00862427,
280,-0.00366211,0.00863647,
282,-0.0195313,0.00876465,
284,-0.00366211,0.00877686,
286,0.000610352,0.0086853,
288,-0.00305176,0.00863647,
290,-0.0115967,0.00866089,
292,-0.0219727,0.0088501,
294,-0.00610352,0.00883179,
296,-0.012207,0.00894165,
298,-0.00488281,0.00871582,
300,0.00366211,0.00853271,
302,-0.00732422,0.00844116,
304,0.0115967,0.00848999,
306,-0.0177002,0.00859985,
308,-0.00427246,0.00853271,
310,-0.00244141,0.00842285,
312,0,0.00838013,
314,-0.00183105,0.00822754,
316,-0.0170898,0.00837402,
318,0.0012207,0.00822754,
320,0.00488281,0.00826416,
322,-0.0146484,0.00827637,
324,0.00244141,0.00828857,
326,0,0.00818481,
328,0.0262451,0.00834351,
330,-0.00488281,0.00831299,
332,-0.00305176,0.00820923,
334,-0.00305176,0.00811157,
336,0.00427246,0.00808105,
338,0.00915527,0.0081543,
340,-0.0238037,0.0081665,
342,0.00183105,0.00810547,
344,0.0012207,0.00811157,
346,-0.00488281,0.00808105,
348,-0.0280762,0.00834351,
350,-0.00183105,0.00828857,
352,-0.00183105,0.00827026,
354,-0.00366211,0.00817871,
356,-0.0146484,0.00823975,
358,0.000610352,0.00818481,
360,-0.0177002,0.0081604,
362,-0.00610352,0.0081604,
364,-0.0012207,0.00806274,
366,0.0158691,0.00819702,
368,-0.0152588,0.00828857,
370,0.00183105,0.00823975,
372,-0.010376,0.00825806,
374,0,0.00825806,
376,-0.00427246,0.00828857,
378,-0.00183105,0.00823364,
380,-0.0115967,0.00828857,
382,-0.012207,0.00839233,
384,0.0109863,0.00846558,
386,0.010376,0.00855713,
388,-0.00671387,0.00860596,
390,-0.000610352,0.00852051,
392,0,0.00846558,
394,-0.00793457,0.00854492,
396,-0.0164795,0.00853271,
398,-0.00732422,0.00856323,
400,-0.0195313,0.00872803,
402,-0.00854492,0.00869751,
404,-0.00305176,0.00865479,
406,-0.0012207,0.00847778,
408,-0.010376,0.00848389,
410,0.0177002,0.00856934,
412,-0.0146484,0.00863647,
414,0.00793457,0.00864258,
416,-0.00549316,0.00857544,
418,-0.0109863,0.00861206,
420,-0.0109863,0.0086853,
422,-0.00549316,0.00871582,
424,0.00183105,0.0085144,
426,-0.00244141,0.00841064,
428,-0.00793457,0.00844727,
430,-0.00244141,0.00838623,
432,-0.000610352,0.00830078,
434,0.00732422,0.00835571,
436,-0.0134277,0.00839844,
438,0.00305176,0.00842285,
440,0.00732422,0.00838623,
442,-0.00793457,0.00823364,
444,-0.0195313,0.00836182,
446,-0.00671387,0.0083313,
448,0.00915527,0.00838013,
450,-0.00671387,0.00838013,
452,0,0.00831909,
454,-0.0146484,0.00839233,
456,-0.0128174,0.00852051,
458,0.000610352,0.00822144,
460,-0.00427246,0.00808105,
462,0.00671387,0.00805054,
464,0.00427246,0.00800171,
466,0.00427246,0.00795898,
468,-0.0170898,0.00806885,
470,-0.0189209,0.00802612,
472,-0.000610352,0.00799561,
474,0.0012207,0.00783081,
476,-0.0115967,0.00791016,
478,-0.00854492,0.00786133,
480,-0.0274658,0.00809937,
482,-0.00549316,0.00795898,
484,0.00976563,0.00802002,
486,-0.00366211,0.00805054,
488,0.00976563,0.00811768,
490,0.00244141,0.00802612,
492,-0.00854492,0.00789185,
494,0.0109863,0.00794067,
496,-0.000610352,0.00782471,
498,-0.0109863,0.00788574,
500,-0.0109863,0.00795898,
502,-0.00305176,0.00791626,
504,0.000610352,0.0078064,
506,-0.0183105,0.0078125,
508,0.00793457,0.00784912,
510,-0.0152588,0.00797729,
512,0.00427246,0.00802002,
514,-0.0140381,0.00814209,
516,-0.0109863,0.00808105,
518,-0.00549316,0.00812378,
520,-0.0115967,0.00819092,
522,-0.00549316,0.00809937,
524,0.00366211,0.00811157,
526,0.00183105,0.00812988,
528,0.00671387,0.00793457,
530,-0.0177002,0.00806274,
532,0.0012207,0.00804443,
534,0.010376,0.00811768,
536,-0.00915527,0.0081665,
538,0.00305176,0.00810547,
540,-0.020752,0.00807495,
542,-0.012207,0.00817871,
544,-0.0115967,0.00828247,
546,-0.0152588,0.00838623,
548,-0.00427246,0.00814819,
550,-0.0128174,0.00825806,
552,0,0.00823975,
554,-0.00549316,0.00825806,
556,-0.00549316,0.0081665,
558,-0.00366211,0.00819702,
560,-0.00305176,0.00805054,
562,0,0.0079895,
564,0.0109863,0.00808716,
566,-0.0140381,0.00806885,
568,0.0012207,0.00792847,
570,-0.0189209,0.00809937,
572,0.0170898,0.0081665,
574,-0.00183105,0.00818481,
576,-0.0201416,0.00834351,
578,0,0.0083252,
580,-0.000610352,0.00821533,
582,-0.0146484,0.00823975,
584,-0.0164795,0.00829468,
