Danna3musculos_C-L01
Gráfico creado el:2026-06-09 15:09:05.109
Registro en:2026-06-09 15:09:26.949
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,272666 samples,272666 samples,
0,0,0,
2,-0.00427246,4.27246E-05,
4,-0.00915527,0.000134277,
6,-0.00793457,0.000213623,
8,-0.00427246,0.000256348,
10,-0.0012207,0.000268555,
12,-0.00976563,0.000366211,
14,-0.00488281,0.000415039,
16,-0.00854492,0.000500488,
18,-0.0109863,0.000610352,
20,-0.00305176,0.000640869,
22,-0.00183105,0.00065918,
24,-0.00549316,0.000714111,
26,-0.00305176,0.000744629,
28,-0.00549316,0.000799561,
30,-0.00610352,0.000860596,
32,-0.00488281,0.000909424,
34,-0.00488281,0.000958252,
36,-0.00305176,0.00098877,
38,-0.00427246,0.00103149,
40,-0.00549316,0.00108643,
42,-0.00427246,0.00112915,
44,-0.00732422,0.00120239,
46,-0.00427246,0.00124512,
48,-0.0012207,0.00125732,
50,-0.00305176,0.00128784,
52,-0.00610352,0.00134888,
54,-0.00549316,0.00140381,
56,-0.00732422,0.00147705,
58,-0.00488281,0.00152588,
60,-0.0012207,0.00153809,
62,-0.00854492,0.00162354,
64,-0.00549316,0.00167847,
66,-0.00427246,0.00172119,
68,-0.010376,0.00182495,
70,-0.00549316,0.00187988,
72,0.0012207,0.00189209,
74,-0.0115967,0.00200806,
76,0.00793457,0.0020874,
78,-0.0140381,0.00222778,
80,-0.0115967,0.00234375,
82,-0.0012207,0.00235596,
84,-0.00793457,0.0024353,
86,-0.00488281,0.00248413,
88,-0.00671387,0.00255127,
90,-0.00671387,0.00261841,
92,-0.00793457,0.00269775,
94,-0.0146484,0.00284424,
96,-0.00183105,0.00286255,
98,0,0.00286255,
100,-0.00305176,0.00289307,
102,-0.00610352,0.0029541,
104,0.00488281,0.00300293,
106,-0.012207,0.003125,
108,-0.0146484,0.00327148,
110,0.00305176,0.003302,
112,-0.00671387,0.00336914,
114,-0.00854492,0.00345459,
116,-0.0109863,0.00356445,
118,-0.0177002,0.00374146,
120,-0.00793457,0.0038208,
122,-0.00854492,0.00390625,
124,-0.00793457,0.0039856,
126,-0.00610352,0.00404663,
128,-0.010376,0.00415039,
130,-0.00732422,0.00422363,
132,-0.00671387,0.00429077,
134,-0.00854492,0.00437622,
136,-0.00610352,0.00443726,
138,-0.00915527,0.00452881,
140,-0.00915527,0.00462036,
142,-0.00366211,0.00465698,
144,-0.00915527,0.00474854,
146,-0.00793457,0.00482788,
148,-0.00610352,0.00488892,
150,0.00488281,0.00493774,
152,-0.0164795,0.00510254,
154,-0.00732422,0.00517578,
156,-0.00366211,0.0052124,
158,-0.00305176,0.00524292,
160,-0.00915527,0.00533447,
162,-0.00610352,0.00539551,
164,-0.0115967,0.00551147,
166,0.0012207,0.00552368,
168,-0.0146484,0.00567017,
170,-0.00427246,0.00571289,
172,-0.00671387,0.00578003,
174,-0.00671387,0.00584717,
176,-0.00488281,0.005896,
178,-0.00732422,0.00596924,
180,-0.00732422,0.00604248,
182,-0.00183105,0.00606079,
184,-0.0128174,0.00618896,
186,-0.00244141,0.00621338,
188,-0.012207,0.00633545,
190,-0.00305176,0.00636597,
192,-0.0012207,0.00637817,
194,-0.00976563,0.00647583,
196,-0.010376,0.00657959,
198,-0.00305176,0.00661011,
200,-0.00488281,0.00665894,
202,-0.00366211,0.00665283,
204,-0.0134277,0.00669556,
206,-0.00671387,0.00668335,
208,-0.00671387,0.00670776,
210,-0.00427246,0.00673828,
212,-0.012207,0.0067627,
214,-0.00732422,0.00678711,
216,-0.00549316,0.00675659,
218,-0.00488281,0.00669556,
220,-0.00427246,0.00670776,
222,-0.00793457,0.0067688,
224,-0.00427246,0.00675659,
226,-0.00244141,0.00675049,
228,-0.00610352,0.00675659,
230,-0.00488281,0.00674438,
232,0.000610352,0.00670166,
234,0.00488281,0.00670166,
236,-0.00671387,0.00673828,
238,-0.00427246,0.00673828,
240,-0.00244141,0.00670776,
242,-0.00671387,0.00673218,
244,-0.00427246,0.00670166,
246,-0.00366211,0.00669556,
248,-0.00305176,0.00671387,
250,-0.0152588,0.00683594,
252,-0.00915527,0.00686646,
254,-0.00549316,0.00686646,
256,-0.00732422,0.00686646,
258,-0.00854492,0.00690308,
260,-0.00488281,0.0069397,
262,-0.0152588,0.00700684,
264,-0.00488281,0.00700073,
266,-0.00549316,0.00701294,
268,-0.0128174,0.00703735,
270,-0.000610352,0.00698853,
272,-0.0012207,0.00698853,
274,-0.0109863,0.00698242,
276,0,0.00690308,
278,-0.00305176,0.00679321,
280,-0.00976563,0.0067749,
282,-0.00549316,0.00681763,
284,-0.00305176,0.0067688,
286,-0.00793457,0.00679932,
288,-0.00366211,0.0067688,
290,0.0012207,0.00671387,
292,-0.0012207,0.00664673,
294,-0.00732422,0.00657349,
296,0,0.00655518,
298,0.00427246,0.0065979,
300,-0.000610352,0.00657349,
302,-0.00427246,0.00655518,
304,0.00549316,0.00656128,
306,-0.0146484,0.00658569,
308,-0.0170898,0.00661011,
310,-0.00305176,0.00661011,
312,-0.00244141,0.00656738,
314,-0.0170898,0.00665283,
316,-0.0109863,0.00665283,
318,-0.0128174,0.006604,
320,-0.00305176,0.00655518,
322,-0.00549316,0.00652466,
324,-0.0012207,0.00645752,
326,-0.0012207,0.00640869,
328,-0.00976563,0.00640259,
330,-0.00671387,0.00639648,
332,-0.000610352,0.00633545,
334,-0.00488281,0.00629883,
336,-0.00671387,0.00630493,
338,-0.00793457,0.00629272,
340,-0.0109863,0.00631104,
342,-0.00183105,0.00629272,
344,-0.00732422,0.00627441,
