Felipe_A-L01
Gráfico creado el:2026-06-10 18:26:11.631
Registro en:2026-06-10 18:31:34.361
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,263338 samples,263338 samples,
0,-0.0164795,0.000164795,
2,0.0286865,0.00045166,
4,-0.00427246,0.000494385,
6,0.0012207,0.000506592,
8,-0.00732422,0.000579834,
10,0.0012207,0.000592041,
12,0.0213623,0.000805664,
14,-0.0140381,0.000946045,
16,0.0299072,0.00124512,
18,-0.0109863,0.00135498,
20,0.0012207,0.00136719,
22,0.0244141,0.00161133,
24,-0.0360107,0.00197144,
26,0.0463867,0.0024353,
28,0.00183105,0.00245361,
30,-0.0183105,0.00263672,
32,0.020752,0.00284424,
34,-0.0445557,0.00328979,
36,0.0476074,0.00376587,
38,0.0146484,0.00391235,
40,-0.0256348,0.0041687,
42,0.0384521,0.00455322,
44,-0.0219727,0.00477295,
46,0.0189209,0.00496216,
48,0.00488281,0.00501099,
50,-0.0115967,0.00512695,
52,0.0402832,0.00552979,
54,0.00183105,0.0055481,
56,-0.00427246,0.00559082,
58,-0.00732422,0.00566406,
60,-0.00427246,0.00570679,
62,0.0286865,0.00599365,
64,-0.00854492,0.0060791,
66,0.0195313,0.00627441,
68,-0.0146484,0.0064209,
70,0.00671387,0.00648804,
72,0.0250244,0.00673828,
74,-0.0335693,0.00707397,
76,0.0616455,0.00769043,
78,0.00183105,0.00770874,
80,-0.0140381,0.00784912,
82,0.0396729,0.00824585,
84,-0.0469971,0.00871582,
86,0.0415039,0.00913086,
88,0.0219727,0.00935059,
90,-0.0183105,0.00953369,
92,0.0402832,0.00993652,
94,-0.0415039,0.0103516,
96,0.0170898,0.0105225,
98,0.00854492,0.0106079,
100,-0.00793457,0.0106873,
102,0.0335693,0.0110229,
104,-0.00732422,0.0110962,
106,-0.00793457,0.0111755,
108,-0.00183105,0.0111938,
110,0.000610352,0.0112,
112,0.0140381,0.0113403,
114,-0.00793457,0.0114197,
116,0.0262451,0.0116821,
118,-0.0292969,0.0119751,
120,0.00549316,0.01203,
122,0.0286865,0.0123169,
124,-0.0360107,0.012677,
126,0.0512695,0.0131897,
128,0,0.0131897,
130,-0.0128174,0.0133179,
132,0.0201416,0.0135193,
134,-0.0408936,0.0139282,
136,0.0421143,0.0143494,
138,0.0109863,0.0144592,
140,-0.0323486,0.0147827,
142,0.0372314,0.015155,
144,-0.0256348,0.0154114,
146,0.0146484,0.0155579,
148,0.0128174,0.015686,
150,-0.0152588,0.0158386,
152,0.0384521,0.0162231,
154,0.0012207,0.0162354,
156,-0.00854492,0.0163208,
158,0.000610352,0.0163269,
160,-0.00427246,0.0163696,
162,0.0262451,0.0166321,
164,-0.00549316,0.016687,
166,0.0177002,0.016864,
168,-0.0134277,0.0169983,
170,0.00671387,0.0170654,
172,0.0250244,0.0173157,
174,-0.0354004,0.0176697,
176,0.0512695,0.0181824,
178,0.0012207,0.0181946,
180,-0.0164795,0.0183594,
182,0.0292969,0.0186523,
184,-0.0390625,0.019043,
186,0.0415039,0.019458,
188,0.0158691,0.0196167,
190,-0.0231934,0.0198486,
192,0.0421143,0.0202698,
194,-0.0256348,0.0205261,
196,0.0219727,0.0207458,
198,0.012207,0.0208679,
200,-0.0109863,0.020813,
202,0.0280762,0.0208069,
204,0.00183105,0.0207825,
206,-0.00244141,0.0207947,
208,-0.000610352,0.0207275,
210,-0.00305176,0.0207458,
212,0.0286865,0.0208191,
214,-0.00366211,0.0207153,
216,0.0170898,0.0205872,
218,-0.0140381,0.0206177,
220,0.00366211,0.0206421,
222,0.0128174,0.0205261,
224,-0.0256348,0.0204224,
226,0.0482178,0.0204407,
228,0.00610352,0.0204834,
230,-0.0274658,0.020575,
232,0.0378418,0.0207458,
234,-0.0402832,0.0207031,
236,0.0518799,0.0207458,
238,0.0201416,0.0208008,
240,-0.0231934,0.0207764,
242,0.0354004,0.0207458,
244,-0.0189209,0.0207153,
246,0.0183105,0.0207092,
248,0.00793457,0.0207397,
250,-0.0152588,0.0207764,
252,0.0323486,0.020697,
254,-0.012207,0.0208008,
256,-0.0128174,0.0208862,
258,0.0012207,0.0208252,
260,-0.00854492,0.0208679,
262,0.0268555,0.0208496,
264,-0.00671387,0.0208313,
266,0.0158691,0.0207947,
268,-0.00976563,0.0207458,
270,0.0012207,0.0206909,
272,0.0238037,0.0206787,
274,-0.0323486,0.0206665,
276,0.0439453,0.0204895,
278,0.00732422,0.0205444,
280,-0.0109863,0.0205139,
282,0.0219727,0.0203369,
284,-0.0427246,0.0202942,
286,0.0341797,0.0202209,
288,0.0164795,0.020166,
290,-0.0250244,0.0202332,
292,0.0415039,0.0202454,
294,-0.0317383,0.0201477,
296,0.00793457,0.0200562,
298,0.00671387,0.0200378,
300,-0.0152588,0.0201111,
302,0.03479,0.0201233,
304,-0.00244141,0.0200745,
306,-0.0170898,0.020166,
308,-0.0012207,0.0201599,
310,-0.0140381,0.0202942,
312,0.0335693,0.0204895,
314,-0.00427246,0.0204529,
316,0.0152588,0.020343,
318,-0.00915527,0.0201416,
320,0.00244141,0.0201111,
322,0.0268555,0.0200928,
324,-0.0262451,0.0199951,
326,0.0457764,0.0199402,
328,0.00427246,0.0199829,
330,-0.0134277,0.019989,
332,0.0317383,0.020105,
334,-0.0482178,0.0201782,
336,0.0323486,0.0200806,
338,0.0128174,0.0200989,
340,-0.0201416,0.0199768,
342,0.0378418,0.0199829,
344,-0.020752,0.0199341,
346,0.012207,0.0199097,
348,0.00671387,0.0198486,
350,-0.0146484,0.0198425,
352,0.0384521,0.0198425,
354,-0.0134277,0.0199646,
356,-0.0170898,0.02005,
358,-0.00610352,0.020105,
360,-0.0189209,0.0202515,
362,0.0201416,0.0201904,
364,-0.0128174,0.0202637,
366,0.00305176,0.0201172,
368,-0.0140381,0.0201233,
370,-0.00793457,0.0201355,
372,0.020752,0.0200928,
374,-0.0354004,0.0200928,
376,0.0390625,0.0199707,
378,0.00244141,0.0199829,
380,-0.0012207,0.0198303,
382,0.0231934,0.0197693,
384,-0.0439453,0.0198181,
386,0.0317383,0.0197205,
388,0.0201416,0.0197632,
390,-0.0256348,0.0197876,
392,0.0408936,0.0197754,
394,-0.0299072,0.0198181,
396,0.010376,0.0197021,
398,0.00244141,0.0196045,
400,-0.0256348,0.019751,
402,0.0378418,0.0198486,
404,-0.0146484,0.0199768,
406,-0.0213623,0.020166,
408,-0.0012207,0.0201721,
410,-0.0146484,0.0202881,
412,0.0244141,0.0202454,
414,-0.0158691,0.0203674,
416,0.0189209,0.0203857,
418,-0.0134277,0.0203796,
420,-0.00488281,0.0203918,
422,0.0195313,0.020459,
424,-0.0366211,0.0205688,
426,0.0408936,0.0204956,
428,0.00183105,0.0204529,
430,-0.0213623,0.0203918,
432,0.0177002,0.0201904,
434,-0.0323486,0.0201111,
436,0.0354004,0.0199463,
438,0.00793457,0.0198242,
440,-0.0201416,0.0197937,
442,0.0445557,0.0198853,
444,-0.0219727,0.0199158,
446,0.0134277,0.0198669,
448,0.00854492,0.019873,
450,-0.0183105,0.0199036,
452,0.0402832,0.0199829,
454,-0.0164795,0.0200256,
456,-0.0115967,0.0200134,
458,0.00854492,0.0200867,
460,-0.0158691,0.0201599,
462,0.0299072,0.0201904,
464,-0.0140381,0.0202637,
466,0.0177002,0.020282,
468,-0.0115967,0.0203003,
470,-0.00732422,0.0203613,
472,0.0177002,0.0203003,
474,-0.0305176,0.020282,
476,0.0408936,0.0202515,
478,0.00854492,0.0202637,
480,-0.032959,0.0204834,
482,0.0244141,0.0205078,
484,-0.0439453,0.02052,
486,0.0299072,0.0204773,
488,0.00671387,0.0203796,
490,-0.0360107,0.0204895,
492,0.0427246,0.0205017,
494,-0.0274658,0.020459,
496,0.00976563,0.0204773,
498,0.00976563,0.0205078,
500,-0.0183105,0.0205383,
502,0.0360107,0.0205505,
504,0.00244141,0.0205505,
506,-0.0177002,0.0205566,
508,0.00305176,0.020575,
510,-0.0134277,0.0205688,
512,0.0231934,0.0204651,
514,-0.0195313,0.0206177,
516,0.0213623,0.0206787,
518,-0.00610352,0.0206482,
520,-0.00854492,0.0207092,
522,0.0195313,0.020636,
524,-0.0286865,0.0206604,
526,0.0537109,0.0207397,
528,0.00915527,0.0207886,
530,-0.0244141,0.0208984,
532,0.0244141,0.0208252,
534,-0.0408936,0.020752,
536,0.0292969,0.0207214,
538,0.010376,0.020697,
540,-0.0274658,0.0207703,
542,0.0518799,0.0209106,
544,-0.0183105,0.0208862,
546,0.0177002,0.0209412,
548,0.0170898,0.0210449,
550,-0.0183105,0.0210815,
552,0.0408936,0.021106,
554,-0.00488281,0.0210205,
556,-0.00488281,0.0208984,
558,0.00854492,0.0209229,
560,0.00183105,0.020752,
562,0.0524902,0.0210754,
564,0.0115967,0.0210632,
566,0.0366211,0.0213989,
568,-0.0012207,0.0212708,
570,-0.0146484,0.0213379,
572,0.0311279,0.0214417,
574,-0.0427246,0.0215149,
576,0.0164795,0.0212891,
578,-0.0268555,0.0215332,
580,-0.0622559,0.0221436,
582,0.00915527,0.0220032,
584,-0.0610352,0.0221741,
586,0.0323486,0.0221802,
588,0.0146484,0.0221252,
590,-0.0286865,0.0221558,
592,0.0390625,0.0221375,
594,-0.0250244,0.0220886,
596,0.00976563,0.0220825,
598,0.00671387,0.0221252,
600,-0.022583,0.0220947,
602,0.0427246,0.0221436,
604,-0.00488281,0.0220459,
606,-0.0128174,0.0219604,
608,0.00427246,0.021991,
610,-0.00427246,0.0218872,
612,0.0164795,0.0218079,
614,0.00366211,0.0216858,
616,0.0109863,0.0216064,
618,-0.0012207,0.0214844,
620,-0.00610352,0.0214966,
622,0.0244141,0.0215454,
624,-0.0231934,0.0214111,
626,0.043335,0.0214355,
628,0.00366211,0.0214539,
630,-0.0177002,0.0214172,
632,0.0280762,0.021521,
634,-0.0415039,0.0216125,
636,0.0311279,0.0215698,
638,0.0134277,0.0216248,
640,-0.0274658,0.021698,
642,0.045166,0.0217041,
644,-0.0170898,0.0216553,
646,0.00915527,0.0216125,
648,0.0195313,0.0217224,
650,-0.012207,0.0216614,
652,0.0494385,0.0217529,
654,-0.0128174,0.0217163,
656,-0.0158691,0.021759,
658,0.00610352,0.0217346,
660,-0.00793457,0.0216553,
662,0.0231934,0.0215881,
664,-0.00793457,0.0215271,
666,0.00671387,0.0214172,
668,-0.0109863,0.0214111,
670,0.00244141,0.0213623,
672,0.0244141,0.0214294,
674,-0.0311279,0.0214355,
676,0.043335,0.02146,
678,0.0146484,0.021521,
680,-0.0286865,0.0214783,
682,0.0262451,0.0214966,
684,-0.0457764,0.0215149,
686,0.0317383,0.0215332,
688,0.0305176,0.0217712,
690,-0.0238037,0.0216492,
692,0.0524902,0.0217468,
694,-0.00427246,0.0215149,
696,0.00854492,0.0215027,
698,-0.000610352,0.0214111,
700,-0.0158691,0.0213867,
702,0.0469971,0.0214966,
704,-0.00427246,0.0215149,
706,-0.0250244,0.0215881,
708,-0.00183105,0.0215759,
710,-0.0189209,0.0216309,
712,0.0256348,0.0216553,
714,-0.00732422,0.0215332,
716,0.0012207,0.0213318,
718,0.00305176,0.0213013,
720,-0.00366211,0.0212524,
722,0.0115967,0.0211731,
724,-0.0360107,0.0212463,
726,0.03479,0.0210571,
728,0.00427246,0.0210083,
730,-0.0219727,0.0209839,
732,0.0323486,0.0210632,
734,-0.0415039,0.0210693,
736,0.0262451,0.0210388,
738,0.0256348,0.0211914,
740,-0.0268555,0.0211853,
742,0.0512695,0.0211792,
744,-0.020752,0.0212036,
746,0.010376,0.0211304,
748,0.0152588,0.0211121,
750,-0.0231934,0.0211609,
752,0.0415039,0.021167,
754,0.00183105,0.0211365,
756,-0.00305176,0.0211182,
758,0.00671387,0.0210999,
760,-0.0109863,0.0211914,
762,0.0262451,0.020929,
764,-0.000610352,0.0208191,
766,0.00854492,0.0205383,
768,0.0152588,0.0206787,
770,-0.0012207,0.0205444,
772,0.012207,0.0203552,
774,-0.0256348,0.0201843,
776,0.0402832,0.0204224,
778,0.0299072,0.0204529,
780,-0.0311279,0.0201416,
782,0.0372314,0.0204224,
784,-0.0408936,0.0202209,
786,0.0402832,0.0203003,
788,0.0158691,0.0203125,
790,-0.0396729,0.0204224,
792,0.0494385,0.0205261,
794,-0.0311279,0.0205872,
796,-0.00854492,0.020575,
798,0.012207,0.0206299,
800,-0.0305176,0.0207092,
802,0.0360107,0.0206421,
804,0.00976563,0.0206909,
806,-0.0170898,0.0207336,
808,0.010376,0.0207947,
810,-0.00793457,0.0208313,
812,0.0292969,0.0209595,
814,-0.00244141,0.0209473,
816,0.0128174,0.0209656,
818,0.0134277,0.0210876,
820,0.00427246,0.0210693,
822,0.020752,0.0210327,
824,-0.0219727,0.0210205,
826,0.0372314,0.0209595,
828,0.0164795,0.0210876,
830,-0.0238037,0.0211487,
832,0.0280762,0.0211487,
834,-0.0415039,0.0211487,
836,0.0292969,0.0211304,
838,0.0189209,0.0211853,
840,-0.0469971,0.0213806,
842,0.055542,0.0214844,
844,-0.0201416,0.0215149,
846,0.00671387,0.0214905,
848,0.0134277,0.0214294,
850,-0.0378418,0.0216858,
852,0.045166,0.0216431,
854,0.00427246,0.0215576,
856,-0.00976563,0.0214966,
858,0.0158691,0.0215942,
860,-0.0146484,0.0216614,
862,0.0274658,0.0217041,
864,-0.0012207,0.021637,
866,0.00793457,0.0216492,
868,-0.000610352,0.0215454,
870,-0.00732422,0.0215942,
872,0.0109863,0.02146,
874,-0.0360107,0.0215088,
876,0.0262451,0.0213379,
878,0.00854492,0.0212769,
880,-0.0268555,0.0212585,
882,0.0378418,0.0213745,
884,-0.0341797,0.0212585,
886,0.0213623,0.0211548,
888,0.032959,0.0211792,
890,-0.0439453,0.0213806,
892,0.0549316,0.021405,
894,-0.0286865,0.0216492,
896,-0.0012207,0.0215759,
898,0.012207,0.0216919,
900,-0.0311279,0.0218445,
902,0.0457764,0.0218323,
904,-0.00610352,0.0218506,
906,-0.0109863,0.0217102,
908,0.0158691,0.0218506,
910,-0.0213623,0.021875,
912,0.0189209,0.0218079,
914,0.00488281,0.0217834,
916,0.00976563,0.0218689,
918,0.0164795,0.0220032,
920,-0.00610352,0.0220276,
922,0.0250244,0.0221619,
924,-0.0274658,0.0220764,
926,0.0384521,0.022113,
928,0.0231934,0.0223022,
930,-0.00244141,0.0221069,
932,0.0360107,0.0221436,
934,-0.0421143,0.0221497,
936,0.0360107,0.0222473,
938,0.0408936,0.0223999,
940,-0.0378418,0.0225098,
942,0.045166,0.0224487,
944,-0.0317383,0.0225586,
946,-0.000610352,0.0224609,
948,0.00732422,0.0223816,
950,-0.0402832,0.0225525,
952,0.045166,0.0225891,
954,-0.00427246,0.0226135,
956,-0.0262451,0.0228455,
958,0.0115967,0.0228943,
960,-0.0189209,0.0229736,
962,0.0274658,0.0229858,
964,-0.000610352,0.0229858,
966,-0.00366211,0.022937,
968,0.00732422,0.0228577,
970,-0.010376,0.0229492,
972,0.00854492,0.0229126,
974,-0.0292969,0.0229492,
976,0.0323486,0.0228699,
978,0.0183105,0.0227539,
980,-0.0183105,0.0226257,
982,0.0354004,0.0226074,
984,-0.032959,0.0225281,
986,0.0195313,0.0223206,
988,0.0292969,0.0224548,
