Felipe_B-L01
Gráfico creado el:2026-06-10 18:41:40.426
Registro en:2026-06-10 18:42:18.028
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,261384 samples,261384 samples,
0,0.0134277,0.000134277,
2,-0.0256348,0.000390625,
4,0.020752,0.000598145,
6,0.00488281,0.000646973,
8,-0.00915527,0.000738525,
10,-0.0012207,0.000750732,
12,-0.0115967,0.000866699,
14,0.00915527,0.000958252,
16,0.0195313,0.00115356,
18,-0.0170898,0.00132446,
20,0.00610352,0.0013855,
22,0.0201416,0.00158691,
24,-0.000610352,0.00159302,
26,0.0152588,0.00174561,
28,0.00366211,0.00178223,
30,0.00427246,0.00182495,
32,0.020752,0.00203247,
34,-0.00244141,0.00205688,
36,-0.0012207,0.00206909,
38,0.00366211,0.00210571,
40,0.0109863,0.00221558,
42,-0.00366211,0.0022522,
44,0.0134277,0.00238647,
46,-0.0128174,0.00251465,
48,0.00610352,0.00257568,
50,0.0231934,0.00280762,
52,-0.0189209,0.00299683,
54,0.0262451,0.00325928,
56,0.0195313,0.00345459,
58,-0.0177002,0.00363159,
60,0.0109863,0.00374146,
62,0.0109863,0.00385132,
64,0.00305176,0.00388184,
66,0.032959,0.00421143,
68,-0.0366211,0.00457764,
70,-0.000610352,0.00458374,
72,0.0128174,0.00471191,
74,-0.00732422,0.00478516,
76,0.00183105,0.00480347,
78,-0.00244141,0.00482788,
80,-0.00671387,0.00489502,
82,0.0140381,0.0050354,
84,-0.00366211,0.00507202,
86,0,0.00507202,
88,0.00976563,0.00516968,
90,-0.0109863,0.00527954,
92,0.00305176,0.00531006,
94,0.0201416,0.00551147,
96,-0.00244141,0.00553589,
98,0.0152588,0.00568848,
100,-0.00427246,0.0057312,
102,-0.0268555,0.00599976,
104,0.0274658,0.00627441,
106,0.0195313,0.00646973,
108,-0.022583,0.00669556,
110,0.00976563,0.00679321,
112,-0.0231934,0.00702515,
114,0.00549316,0.00708008,
116,0.0219727,0.0072998,
118,-0.0244141,0.00754395,
120,0.0158691,0.00770264,
122,0.00549316,0.00775757,
124,0.0134277,0.00789185,
126,0.00244141,0.00791626,
128,0.00549316,0.00797119,
130,0,0.00797119,
132,0.0238037,0.00820923,
134,-0.0140381,0.00834961,
136,-0.00793457,0.00842896,
138,0.0177002,0.00860596,
140,0.00549316,0.00866089,
142,-0.0170898,0.00883179,
144,0.0109863,0.00894165,
146,-0.0140381,0.00908203,
148,0.0280762,0.00936279,
150,0.0177002,0.00953979,
152,-0.0146484,0.00968628,
154,0.0286865,0.00997314,
156,0.00488281,0.010022,
158,-0.00976563,0.0101196,
160,0.0231934,0.0103516,
162,-0.0109863,0.0104614,
164,-0.00244141,0.0104858,
166,0.0256348,0.0107422,
168,-0.0317383,0.0110596,
170,0.00244141,0.011084,
172,0.00610352,0.011145,
174,-0.0262451,0.0114075,
176,0.00915527,0.011499,
178,0.00488281,0.0115479,
180,-0.0189209,0.0117371,
182,0.000610352,0.0117432,
184,-0.0134277,0.0118774,
186,-0.00854492,0.0119629,
188,0.0134277,0.0120972,
190,0.0012207,0.0121094,
192,-0.00305176,0.0121399,
194,0.0170898,0.0123108,
196,0.0012207,0.012323,
198,0.0250244,0.0125732,
200,-0.0244141,0.0126831,
202,-0.0152588,0.0125793,
204,0.0323486,0.0126953,
206,0.00366211,0.0126831,
208,-0.0219727,0.0128113,
210,0.0115967,0.012915,
212,-0.0195313,0.0129944,
214,0.0115967,0.0130188,
216,0.00976563,0.0129211,
218,-0.0158691,0.0129089,
220,0.0170898,0.0130188,
222,0.00183105,0.0128357,
224,-0.0280762,0.0131104,
226,0.0134277,0.013092,
228,0.00488281,0.0131042,
230,0.00244141,0.0130859,
232,0.0140381,0.0130188,
234,-0.0164795,0.0131592,
236,-0.00610352,0.013208,
238,0.0274658,0.013446,
240,0.0231934,0.0135681,
242,-0.022583,0.0137573,
244,-0.0115967,0.013739,
246,-0.00915527,0.0137024,
248,0.00427246,0.0136841,
250,0.00671387,0.0135193,
252,-0.0421143,0.0137512,
254,-0.00793457,0.0135681,
256,-0.0109863,0.0134827,
258,-0.0146484,0.0134521,
260,0.00732422,0.0134155,
262,-0.0201416,0.0135071,
264,-0.00610352,0.0135376,
266,0.0195313,0.0134033,
268,-0.0390625,0.0134277,
270,-0.00305176,0.0134521,
272,0.00488281,0.0133728,
274,-0.0109863,0.0134094,
276,-0.00244141,0.0134155,
278,0.00244141,0.0134155,
280,-0.0164795,0.0135132,
282,0.0134277,0.0135071,
284,0.00244141,0.0134949,
286,-0.00366211,0.0135315,
288,0.0274658,0.0137085,
290,0.000610352,0.0136047,
292,-0.0128174,0.0137024,
294,0.012207,0.013623,
296,-0.00488281,0.0136475,
298,0.0177002,0.0136719,
300,0.032959,0.0139587,
302,-0.0170898,0.0138611,
304,0.0262451,0.0138489,
306,0.0140381,0.0137939,
308,0.00793457,0.0136475,
310,0.0012207,0.013562,
312,0.0140381,0.0134705,
314,0.00854492,0.013501,
316,0.010376,0.013385,
318,-0.0128174,0.013269,
320,0.00427246,0.0131531,
322,-0.00549316,0.0131531,
324,0.0012207,0.013031,
326,-0.0109863,0.0131165,
328,0.00854492,0.013147,
330,-0.00732422,0.0132202,
332,0,0.0129822,
334,-0.00427246,0.0128845,
336,-0.00915527,0.0128967,
338,0.0170898,0.0128906,
340,0.00793457,0.012915,
342,0.0164795,0.0129089,
344,-0.00366211,0.0128357,
346,-0.00366211,0.0127319,
348,0.020752,0.0126587,
350,0.00183105,0.0125,
352,-0.020752,0.012561,
354,0.0268555,0.0125427,
