Felipe_C-L01
Gráfico creado el:2026-06-10 18:52:01.272
Registro en:2026-06-10 18:52:23.659
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,261808 samples,261808 samples,
0,-0.00244141,2.44141E-05,
2,-0.00244141,4.88281E-05,
4,0.010376,0.000152588,
6,-0.00305176,0.000183105,
8,0.00671387,0.000250244,
10,-0.00244141,0.000274658,
12,-0.012207,0.000396729,
14,0.0177002,0.00057373,
16,0.0012207,0.000585937,
18,-0.00244141,0.000610352,
20,0.00915527,0.000701904,
22,-0.0012207,0.000714111,
24,0.0109863,0.000823975,
26,0.0140381,0.000964355,
28,-0.0115967,0.00108032,
30,0.0140381,0.0012207,
32,-0.000610352,0.00122681,
34,-0.00854492,0.00131226,
36,0.0164795,0.00147705,
38,0.00305176,0.00150757,
40,0,0.00150757,
42,0.0195313,0.00170288,
44,-0.00610352,0.00176392,
46,0.00305176,0.00179443,
48,0.012207,0.0019165,
50,-0.00183105,0.00193481,
52,0.0109863,0.00204468,
54,-0.00366211,0.0020813,
56,-0.00671387,0.00214844,
58,0.010376,0.0022522,
60,0.00244141,0.00227661,
62,-0.00549316,0.00233154,
64,0.0170898,0.00250244,
66,0.010376,0.0026062,
68,-0.0128174,0.00273438,
70,0.00305176,0.00276489,
72,-0.00183105,0.0027832,
74,0.0115967,0.00289917,
76,0.00732422,0.00297241,
78,-0.0189209,0.00316162,
80,0.012207,0.00328369,
82,0.00305176,0.00331421,
84,-0.00793457,0.00339355,
86,0.0128174,0.00352173,
88,-0.0012207,0.00353394,
90,0.00366211,0.00357056,
92,-0.000610352,0.00357666,
94,-0.00549316,0.00363159,
96,0.00610352,0.00369263,
98,0.00671387,0.00375977,
100,-0.00183105,0.00377808,
102,0.00793457,0.00385742,
104,-0.000610352,0.00386353,
106,-0.00915527,0.00395508,
108,0.0140381,0.00409546,
110,0.00244141,0.00411987,
112,-0.010376,0.00422363,
114,0.012207,0.0043457,
116,0.00488281,0.00439453,
118,-0.010376,0.00449829,
120,0.0177002,0.00467529,
122,-0.00549316,0.00473022,
124,0.0140381,0.00487061,
126,0.00244141,0.00489502,
128,-0.0134277,0.0050293,
130,0.022583,0.00525513,
132,-0.00671387,0.00532227,
134,-0.0134277,0.00545654,
136,0.00427246,0.00549927,
138,-0.00305176,0.00552979,
140,0.00183105,0.0055481,
142,0.00854492,0.00563354,
144,-0.0128174,0.00576172,
146,0.00671387,0.00582886,
148,0.00793457,0.0059082,
150,0.00244141,0.00593262,
152,0.00305176,0.00596313,
154,0.00793457,0.00604248,
156,0.00854492,0.00612793,
158,0.010376,0.00623169,
160,-0.012207,0.00635376,
162,0.00427246,0.00639648,
164,0.0250244,0.00664673,
166,0.0128174,0.0067749,
168,-0.010376,0.00687866,
170,0.00488281,0.00692749,
172,-0.00305176,0.00695801,
174,0.0115967,0.00707397,
176,0.0170898,0.00724487,
178,-0.0262451,0.00750732,
180,0.0152588,0.00765991,
182,0.00305176,0.00769043,
184,-0.0134277,0.00782471,
186,0.00183105,0.00784302,
188,0.0012207,0.00785522,
190,0.0115967,0.00797119,
192,0.000610352,0.00797729,
194,-0.0177002,0.0081543,
196,-0.0012207,0.0081665,
198,0.0152588,0.00831909,
200,-0.00427246,0.0083374,
202,0.000610352,0.00831909,
204,0.00793457,0.00829468,
206,0.00427246,0.00830688,
208,0.0109863,0.00834961,
210,-0.00427246,0.00836792,
212,0.00793457,0.0083252,
214,0.0231934,0.00838013,
216,-0.00732422,0.00844116,
218,-0.00488281,0.00846558,
220,0.0164795,0.00853882,
222,-0.00976563,0.00862427,
224,0.00793457,0.00859375,
226,0.00427246,0.00849609,
228,-0.0164795,0.00854492,
230,0.020752,0.00861206,
232,0.00244141,0.00863037,
234,0.00305176,0.00857544,
236,0.0213623,0.00862427,
238,-0.0115967,0.00870972,
240,0.020752,0.00891724,
242,0.0170898,0.00889282,
244,-0.00183105,0.0088501,
246,0.0177002,0.00899658,
248,0.0189209,0.00906372,
250,-0.0115967,0.00916138,
252,0.00244141,0.00907593,
254,0.010376,0.00914307,
256,-0.00549316,0.00913086,
258,0.010376,0.00913086,
260,-0.0183105,0.00928955,
262,-0.0164795,0.00939941,
264,0.012207,0.00935059,
266,0.00366211,0.00928345,
268,-0.00915527,0.00924683,
270,0.00732422,0.00928955,
272,-0.00549316,0.00932617,
274,0.00854492,0.00929565,
276,0.00915527,0.00931396,
278,-0.012207,0.00924683,
280,0.0189209,0.00931396,
282,0.00366211,0.00932007,
284,-0.000610352,0.00924683,
286,0.0152588,0.00927124,
288,0.00488281,0.00930786,
290,0.010376,0.009375,
292,0.0109863,0.00947876,
294,-0.00854492,0.00950928,
296,0.00549316,0.00950317,
298,0.0170898,0.00960693,
300,-0.00427246,0.00963135,
302,-0.00915527,0.00964355,
304,0.0115967,0.00975342,
306,-0.00854492,0.00974731,
308,0.00976563,0.00970459,
310,-0.0109863,0.00979004,
312,-0.00427246,0.009729,
314,0.0146484,0.00975342,
316,0.00854492,0.00979004,
318,-0.010376,0.00979004,
320,0.00976563,0.00971069,
322,-0.00549316,0.00971069,
324,0.0189209,0.00975952,
326,0.0219727,0.00995483,
328,-0.00976563,0.00991821,
330,-0.0012207,0.00970459,
332,0.00366211,0.00967407,
334,-0.00183105,0.00955811,
336,-0.0012207,0.00952759,
338,-0.00427246,0.00953979,
340,0.0115967,0.00963745,
342,0.0146484,0.00969849,
344,-0.0128174,0.00969849,
346,0.0128174,0.00975952,
348,0.0177002,0.00985718,
350,-0.000610352,0.00983887,
352,0.0012207,0.00982056,
354,0.0158691,0.0098999,
356,-0.0140381,0.00995483,
358,0.00488281,0.0098999,
360,-0.00549316,0.00983276,
362,-0.00305176,0.00982056,
364,0.0128174,0.00969849,
366,0.00244141,0.00959473,
368,-0.00732422,0.00956421,
370,0.0164795,0.00968018,
372,-0.00366211,0.00968628,
374,0.00305176,0.00960083,
376,0.0201416,0.00963135,
378,-0.0134277,0.00950317,
380,0.0134277,0.00948486,
382,0.00427246,0.00949707,
384,-0.00915527,0.00945435,
386,0.00915527,0.00952759,
388,0.00915527,0.00960693,
390,0.00427246,0.00953369,
392,0.00427246,0.00957031,
394,-0.00488281,0.00944214,
396,0.012207,0.009552,
398,0.0115967,0.00951538,
400,0.00732422,0.0095459,
402,0.00732422,0.00961304,
404,0.00793457,0.00961304,
406,-0.000610352,0.00957642,
408,0.0158691,0.00962524,
410,0.00976563,0.00968018,
412,-0.0115967,0.0097168,
414,0.0134277,0.00961914,
416,0.00793457,0.00962524,
418,-0.00183105,0.00959473,
420,0.0128174,0.00955811,
422,-0.0152588,0.00961304,
424,0.00732422,0.00960693,
426,0.0189209,0.00975342,
428,-0.0140381,0.009729,
430,0.00427246,0.00956421,
432,0.00366211,0.00957642,
434,0.000610352,0.009552,
436,0.010376,0.00944214,
438,-0.00366211,0.00936279,
440,0.00854492,0.00924072,
442,0.0128174,0.009198,
444,-0.00610352,0.00924072,
446,0.00976563,0.00916138,
448,0.0134277,0.00910645,
450,0.0012207,0.00900269,
452,0.00366211,0.00901489,
454,0.00610352,0.00897217,
456,0.00244141,0.00894165,
458,0.010376,0.00894165,
460,0.00366211,0.00879517,
462,-0.00610352,0.00869141,
464,0.020752,0.00877686,
466,0.00854492,0.00882568,
468,-0.00366211,0.00877075,
470,0.00854492,0.00878296,
472,0.00976563,0.00882568,
474,0.00915527,0.00883179,
476,0.00976563,0.00883789,
478,-0.00244141,0.00874023,
480,0.0231934,0.00878296,
482,0.00366211,0.00878296,
484,-0.012207,0.00889893,
486,0.010376,0.0088501,
488,0.00671387,0.00886841,
490,0.00183105,0.00878296,
492,0.0134277,0.00880737,
494,-0.0170898,0.00889282,
496,0.00610352,0.00889893,
498,0.020752,0.00893555,
500,-0.00610352,0.00895386,
502,0.00610352,0.00892334,
504,0.0109863,0.00891724,
506,-0.00183105,0.0088501,
508,0.00671387,0.00881958,
510,0.00305176,0.00874023,
512,-0.00671387,0.00876465,
514,0.0146484,0.00876465,
516,0.00488281,0.00872803,
518,-0.00732422,0.00869751,
520,0.0152588,0.00875244,
522,-0.00732422,0.00877075,
524,0.0109863,0.00869141,
526,0.0128174,0.00859985,
528,-0.0152588,0.00865479,
530,0.020752,0.0088501,
532,0.00915527,0.00890503,
534,0,0.00888672,
536,0.00671387,0.00894165,
538,-0.0012207,0.00891113,
540,0.012207,0.00891724,
542,0.0213623,0.00898438,
544,-0.0152588,0.00900879,
546,0.00610352,0.00894165,
548,-0.00427246,0.00880737,
550,-0.000610352,0.00880737,
552,0.00305176,0.00882568,
554,0.00549316,0.00872192,
556,-0.0012207,0.00859375,
558,0.0158691,0.00870361,
560,-0.00183105,0.00866699,
562,-0.010376,0.00874023,
564,0.0256348,0.00886841,
566,0.012207,0.00896606,
568,-0.00854492,0.00897827,
570,0.0170898,0.00898438,
572,-0.022583,0.00917358,
574,0.00915527,0.00923462,
576,0.010376,0.00913696,
578,-0.0219727,0.00922241,
580,0.00976563,0.00918579,
582,-0.00244141,0.00916748,
584,-0.00915527,0.00916748,
586,0.0177002,0.00925293,
588,-0.0109863,0.00927124,
590,0.00793457,0.00930786,
592,0.0152588,0.00941772,
594,-0.0128174,0.00949707,
596,0.00976563,0.00947266,
598,0.00671387,0.00942383,
600,-0.00549316,0.00940552,
602,0.00427246,0.009375,
604,0.00488281,0.00934448,
606,-0.00305176,0.0093689,
608,0.00610352,0.00927124,
610,-0.0012207,0.00918579,
612,-0.00244141,0.00909424,
614,0.00976563,0.00905762,
616,-0.000610352,0.00898438,
618,-0.00427246,0.00900879,
620,0.0109863,0.00899048,
622,-0.0115967,0.00895386,
624,0.00732422,0.00895386,
626,0.0140381,0.00890503,
628,-0.00854492,0.0088501,
630,0.00610352,0.00886841,
632,0.00366211,0.00886841,
634,-0.00244141,0.00888672,
636,0.0146484,0.00892944,
638,0.000610352,0.00889893,
640,-0.00976563,0.00891113,
642,0.00732422,0.0088562,
644,0.00488281,0.00884399,
646,0.00427246,0.00878906,
648,0.00488281,0.00870361,
650,-0.000610352,0.00869751,
652,-0.0152588,0.00881348,
654,0.0152588,0.00890503,
656,-0.00488281,0.00892944,
658,0,0.00882568,
660,-0.00793457,0.00886841,
662,-0.00488281,0.0088562,
664,0.0115967,0.00876465,
666,0.00549316,0.00873413,
668,-0.00732422,0.00877075,
670,0.00427246,0.00872803,
672,-0.00366211,0.00866699,
674,0.010376,0.0086792,
676,0.00305176,0.00861206,
678,-0.0250244,0.00883789,
680,0.0164795,0.00877075,
682,0.000610352,0.00874023,
684,-0.00976563,0.00871582,
686,0.010376,0.00871582,
688,-0.00671387,0.00871582,
690,0.012207,0.00881958,
692,0.0256348,0.00894165,
694,-0.0183105,0.00895386,
696,0.00244141,0.00891724,
698,0.0146484,0.0088562,
700,-0.00244141,0.00881958,
702,0.00427246,0.00880127,
704,0.00976563,0.00878906,
706,-0.00610352,0.00883179,
708,0.0146484,0.00891113,
710,-0.00549316,0.00893555,
712,0,0.00886841,
714,0.0146484,0.00886841,
716,0.00793457,0.00889893,
718,-0.00671387,0.00889282,
720,0.0189209,0.00892944,
722,-0.00671387,0.00892334,
724,0.00366211,0.0088501,
726,0.020752,0.00892944,
728,-0.0128174,0.00890503,
730,0.0134277,0.00883179,
732,-0.00732422,0.00881348,
734,-0.00732422,0.00888672,
736,0.0115967,0.00893555,
738,-0.0140381,0.00906372,
740,0.0201416,0.00914307,
742,0.00671387,0.00899658,
744,-0.0146484,0.00899048,
746,0.00244141,0.00895386,
748,0.0152588,0.00906372,
750,-0.0012207,0.00906982,
752,0.00671387,0.00910645,
754,0.00732422,0.00912476,
756,-0.0158691,0.00927124,
758,0.00488281,0.00916138,
760,0.000610352,0.00914917,
762,-0.010376,0.00914917,
764,0.00915527,0.00898438,
766,0.00671387,0.00892944,
768,-0.010376,0.00894775,
770,0.00976563,0.00887451,
772,0.00549316,0.00870361,
774,0.0238037,0.0088501,
776,-0.00915527,0.00883789,
778,-0.00549316,0.0086731,
780,0.0164795,0.00874023,
782,0.00366211,0.00875244,
784,-0.010376,0.00876465,
786,0.00183105,0.00860596,
788,-0.0115967,0.00861206,
790,0.00488281,0.00858154,
792,0.00854492,0.0085144,
794,-0.00610352,0.00844727,
796,-0.00305176,0.00838013,
798,0.00976563,0.00841064,
800,0.00366211,0.00839233,
802,0.00610352,0.00841064,
804,0,0.00836182,
806,-0.00366211,0.00836792,
808,0.0152588,0.00845947,
810,-0.00793457,0.00852661,
812,-0.00610352,0.00856323,
814,0.0238037,0.00870361,
816,0.00793457,0.00877686,
818,-0.0134277,0.00886841,
820,0.0134277,0.00889282,
822,0.0012207,0.00878906,
824,0.00549316,0.00877075,
826,0.0195313,0.00882568,
828,-0.00671387,0.00880737,
830,0.00305176,0.00877686,
832,0.00671387,0.00880737,
834,-0.00366211,0.00881958,
836,0.00732422,0.00874634,
838,0.00549316,0.00879517,
840,0.00366211,0.00873413,
842,0.00488281,0.00870972,
844,-0.0170898,0.00883179,
846,-0.000610352,0.00879517,
848,0.00854492,0.00883179,
850,-0.012207,0.00894775,
852,0,0.00879517,
854,-0.00305176,0.0086731,
856,-0.00366211,0.00866089,
858,-0.00305176,0.00869141,
860,0.000610352,0.00861816,
862,-0.000610352,0.00857544,
864,0.00915527,0.00855103,
866,-0.000610352,0.0085022,
868,-0.00549316,0.00848389,
870,0.0128174,0.00856934,
872,-0.00183105,0.00855103,
874,0.00549316,0.0085022,
876,0.00610352,0.00853271,
878,-0.012207,0.00840454,
880,0.0219727,0.00845947,
882,0.00305176,0.00848389,
884,-0.00183105,0.00840454,
886,0.0109863,0.00841064,
888,-0.00305176,0.00837402,
890,0.00671387,0.00831909,
892,0.0201416,0.00826416,
894,-0.0183105,0.00826416,
896,0.0177002,0.00841675,
898,0.00427246,0.00831299,
900,-0.00671387,0.00835571,
902,-0.00549316,0.00836792,
904,0.000610352,0.00827637,
906,0.0109863,0.0083252,
908,0.00183105,0.00819702,
910,-0.000610352,0.00814819,
912,-0.00671387,0.00821533,
914,0.0164795,0.00823364,
916,0.00244141,0.00817871,
918,-0.00244141,0.00813599,
920,0.0158691,0.00810547,
922,-0.00610352,0.00809937,
924,0.020752,0.00827026,
926,0.00854492,0.00814819,
928,-0.0183105,0.00820313,
930,0.0115967,0.00818481,
932,0.0134277,0.00824585,
934,-0.00244141,0.00819702,
936,0.00549316,0.00813599,
938,-0.00305176,0.00802612,
940,-0.00549316,0.00787964,
942,0.0158691,0.00797119,
944,-0.00366211,0.00786133,
946,0.00915527,0.00792847,
948,0.00366211,0.0078125,
950,0.000610352,0.0078064,
952,0.0158691,0.00789795,
954,0.00732422,0.00789795,
956,0.00183105,0.00775757,
958,0.00427246,0.00775146,
960,-0.00305176,0.00777588,
962,-0.00915527,0.00776367,
964,0.0128174,0.00780029,
966,0.0012207,0.00774536,
968,-0.00427246,0.00768433,
970,0.00976563,0.00768433,
972,-0.00976563,0.00772705,
974,0.00793457,0.00756836,
976,0.0140381,0.00761719,
978,-0.0134277,0.00769653,
980,0.0109863,0.0076416,
982,0.00671387,0.00767212,
984,0.00488281,0.00761719,
986,0.00427246,0.0076416,
988,0.00183105,0.00754395,
990,0.00793457,0.00757446,
992,0.010376,0.00759277,
994,-0.0164795,0.00769653,
996,0.00427246,0.00770874,
998,0.0158691,0.00776978,
1000,-0.00610352,0.00779419,
1002,0.000610352,0.00773926,
1004,0.0152588,0.00789185,
1006,0.00854492,0.00794067,
1008,0.0152588,0.00794067,
1010,-0.000610352,0.00786743,
1012,-0.00366211,0.00784302,
1014,0.0244141,0.00784912,
1016,-0.000610352,0.00777588,
1018,-0.012207,0.00776367,
1020,0,0.00762939,
1022,-0.0231934,0.00784912,
1024,-0.00610352,0.00785522,
1026,0.0134277,0.00779419,
1028,-0.0189209,0.00791626,
1030,0.00732422,0.00795898,
1032,-0.00244141,0.00791626,
1034,-0.00305176,0.00791016,
1036,0.00915527,0.00792847,
1038,0.00549316,0.00792847,
1040,0.0195313,0.00808716,
1042,0.0115967,0.0081543,
1044,-0.0201416,0.00818481,
1046,0.010376,0.00828247,
1048,0.0195313,0.00839233,
1050,0.00305176,0.00830078,
1052,-0.000610352,0.00830688,
1054,-0.000610352,0.00828247,
1056,-0.00366211,0.00828247,
1058,0.00366211,0.00828857,
1060,0,0.00828247,
1062,0.00305176,0.00830688,
1064,0.0109863,0.0083252,
1066,-0.00671387,0.00838623,
1068,-0.000610352,0.0083374,
1070,0.010376,0.00831299,
1072,0.00549316,0.00834961,
1074,-0.00305176,0.0083252,
1076,0.00488281,0.00831299,
1078,-0.0152588,0.00834351,
1080,0.022583,0.00834961,
1082,-0.00305176,0.00834961,
1084,-0.012207,0.00845337,
1086,0.0183105,0.00852661,
1088,0.00366211,0.00853271,
1090,0,0.00846558,
1092,0.020752,0.00847168,
1094,-0.0109863,0.00839844,
1096,0.00976563,0.00831909,
1098,0.0128174,0.00840454,
1100,-0.00671387,0.00840454,
1102,-0.012207,0.00847168,
1104,-0.000610352,0.00847168,
1106,-0.00732422,0.00843506,
1108,-0.000610352,0.00842285,
1110,-0.00549316,0.00847168,
1112,-0.0128174,0.00853271,
1114,0.00976563,0.00846558,
1116,0.0115967,0.00855713,
1118,-0.00671387,0.00859985,
1120,0.00183105,0.00845947,
1122,-0.00671387,0.00846558,
1124,0.0158691,0.00841675,
