Sara-A-Musc-ABC-L01
Gráfico creado el:2026-06-09 18:38:26.732
Registro en:2026-06-09 18:41:20.069
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,201848 samples,201848 samples,
0,-0.0390625,0.000390625,
2,0.012207,0.000512695,
4,0.00244141,0.000537109,
6,-0.0378418,0.000915527,
8,-0.0140381,0.00105591,
10,0.0360107,0.00141602,
12,-0.0134277,0.00155029,
14,0.0140381,0.00169067,
16,0.00976563,0.00178833,
18,-0.0305176,0.00209351,
20,0.00610352,0.00215454,
22,0.0213623,0.00236816,
24,-0.0366211,0.00273438,
26,0.0170898,0.00290527,
28,0.0152588,0.00305786,
30,-0.0354004,0.00341187,
32,-0.0268555,0.00368042,
34,-0.00854492,0.00376587,
36,0.045166,0.00421753,
38,-0.0189209,0.00440674,
40,-0.0720215,0.00512695,
42,0.00488281,0.00517578,
44,0.012207,0.00529785,
46,-0.0335693,0.00563354,
48,0,0.00563354,
50,-0.0317383,0.00595093,
52,0.0140381,0.00609131,
54,0.00305176,0.00612183,
56,-0.0311279,0.00643311,
58,-0.0115967,0.00654907,
60,0.012207,0.00667114,
62,0.00854492,0.00675659,
64,-0.0152588,0.00690918,
66,-0.0256348,0.00716553,
68,0.00976563,0.00726318,
70,0.0231934,0.00749512,
72,-0.0177002,0.00767212,
74,-0.0262451,0.00793457,
76,0.0250244,0.00818481,
78,0.0201416,0.00838623,
80,-0.0439453,0.00882568,
82,-0.00549316,0.00888062,
84,-0.0219727,0.00910034,
86,0.020752,0.00930786,
88,0.0134277,0.00944214,
90,-0.0616455,0.0100586,
92,0.0140381,0.010199,
94,0.0476074,0.010675,
96,-0.0476074,0.0111511,
98,0.0140381,0.0112915,
100,-0.0274658,0.0115662,
102,0.0256348,0.0118225,
104,-0.00183105,0.0118408,
106,0.0280762,0.0121216,
108,0.00366211,0.0121582,
110,-0.0366211,0.0125244,
112,0.0238037,0.0127625,
114,0.00305176,0.012793,
116,-0.0299072,0.013092,
118,-0.0146484,0.0132385,
120,-0.00732422,0.0133118,
122,-0.0366211,0.013678,
124,-0.0628662,0.0143066,
126,-0.00488281,0.0143555,
128,0.0134277,0.0144897,
130,-0.0390625,0.0148804,
132,-0.00976563,0.014978,
134,-0.0201416,0.0151794,
136,0.00549316,0.0152344,
138,0.00549316,0.0152893,
140,-0.0445557,0.0157349,
142,0.0115967,0.0158508,
144,-0.00244141,0.0158752,
146,-0.0274658,0.0161499,
148,0.00610352,0.0162109,
150,-0.0256348,0.0164673,
152,0.0195313,0.0166626,
154,0.00427246,0.0167053,
156,-0.0390625,0.0170959,
158,-0.00549316,0.0171509,
160,0.00488281,0.0171997,
162,0.0250244,0.01745,
164,0.0244141,0.0176941,
166,-0.0292969,0.0179871,
168,0,0.0179871,
170,0.0427246,0.0184143,
172,-0.00305176,0.0184448,
174,0.0164795,0.0186096,
176,-0.0231934,0.0188416,
178,0.0354004,0.0191956,
180,-0.0396729,0.0195923,
