Sara-B-Musc-ABC-L01
Gráfico creado el:2026-06-09 18:48:57.261
Registro en:2026-06-09 18:49:39.611
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,160882 samples,160882 samples,
0,0.00915527,9.15527E-05,
2,0.0653076,0.000744629,
4,-0.0909424,0.00165405,
6,0.0390625,0.00204468,
8,0.00610352,0.00210571,
10,-0.0598145,0.00270386,
12,0.0537109,0.00324097,
14,-0.055542,0.00379639,
16,0.0146484,0.00394287,
18,0.0299072,0.00424194,
20,-0.101318,0.00525513,
22,0.032959,0.00558472,
24,0.0177002,0.00576172,
26,-0.0372314,0.00613403,
28,0.00244141,0.00615845,
30,0.00366211,0.00619507,
32,-0.0274658,0.00646973,
34,0.0219727,0.00668945,
36,-0.0286865,0.00697632,
38,-0.0244141,0.00722046,
40,0.0415039,0.0076355,
42,-0.0390625,0.00802612,
44,-0.0543213,0.00856934,
46,0.0201416,0.00877075,
48,-0.0604248,0.009375,
50,0.0402832,0.00977783,
52,0.0262451,0.0100403,
54,-0.0933838,0.0109741,
56,0.055542,0.0115295,
58,0.0341797,0.0118713,
60,-0.0726318,0.0125977,
62,-0.057373,0.0131714,
64,-0.0280762,0.0134521,
66,0.0280762,0.0137329,
68,0.010376,0.0138367,
70,-0.126953,0.0151062,
72,0.0299072,0.0154053,
74,0.0311279,0.0157166,
76,-0.0616455,0.016333,
78,0.057373,0.0169067,
80,-0.0512695,0.0174194,
82,0.0231934,0.0176514,
84,0.0201416,0.0178528,
86,-0.045166,0.0183044,
88,-0.0311279,0.0186157,
90,0.0579834,0.0191956,
92,-0.0250244,0.0194458,
94,-0.067749,0.0201233,
96,0.0701904,0.0208252,
98,-0.0408936,0.0212341,
100,0.00854492,0.0213196,
102,0.020752,0.0215271,
104,-0.101929,0.0225464,
106,0.065918,0.0232056,
108,-0.00915527,0.0232971,
110,-0.0769043,0.0240662,
112,0.0811768,0.0248779,
114,-0.0646973,0.0255249,
116,-0.00366211,0.0255615,
118,0.0524902,0.0260864,
120,-0.0994873,0.0270813,
122,0.032959,0.0274109,
124,0.00671387,0.027478,
126,-0.0567627,0.0280457,
128,0.0311279,0.0283569,
130,0.00366211,0.0283936,
