Sara-C-Musc-ABC-L01
Gráfico creado el:2026-06-09 18:56:17.279
Registro en:2026-06-09 18:56:41.070
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,202768 samples,202768 samples,
0,0.0158691,0.000158691,
2,-0.0665283,0.000823975,
4,0.00610352,0.00088501,
6,0.00915527,0.000976563,
8,-0.0292969,0.00126953,
10,0.0317383,0.00158691,
12,-0.0238037,0.00182495,
14,0.0012207,0.00183716,
16,0.0219727,0.00205688,
18,-0.0341797,0.00239868,
20,-0.0183105,0.00258179,
22,0.0244141,0.00282593,
24,0.0012207,0.00283813,
26,-0.0238037,0.00307617,
28,-0.0164795,0.00324097,
30,-0.0109863,0.00335083,
32,0.0250244,0.00360107,
34,0.022583,0.0038269,
36,-0.0561523,0.00438843,
38,0.0317383,0.00470581,
40,0.0274658,0.00498047,
42,-0.0463867,0.00544434,
44,0.00915527,0.00553589,
46,-0.0213623,0.00574951,
48,0.0244141,0.00599365,
50,0.0170898,0.00616455,
52,-0.0604248,0.0067688,
54,0.0140381,0.00690918,
56,0.0268555,0.00717773,
58,-0.0280762,0.0074585,
60,0.022583,0.00768433,
62,-0.0128174,0.0078125,
64,-0.00183105,0.00783081,
66,0.0134277,0.00796509,
68,-0.0360107,0.0083252,
70,-0.0256348,0.00858154,
72,0.0158691,0.00874023,
74,0.0177002,0.00891724,
76,-0.0402832,0.00932007,
78,-0.0244141,0.00956421,
80,-0.00427246,0.00960693,
82,0.0195313,0.00980225,
84,0.00549316,0.00985718,
86,-0.0604248,0.0104614,
88,0.0292969,0.0107544,
90,0.0183105,0.0109375,
92,-0.0592041,0.0115295,
94,0.00793457,0.0116089,
96,-0.0195313,0.0118042,
98,0.0189209,0.0119934,
100,0.0115967,0.0121094,
102,-0.0598145,0.0127075,
104,0.012207,0.0128296,
106,0.0170898,0.0130005,
108,-0.0299072,0.0132996,
110,0.0317383,0.0136169,
112,-0.0286865,0.0139038,
114,0.00244141,0.0139282,
116,0.0140381,0.0140686,
118,-0.0323486,0.0143921,
120,-0.0189209,0.0145813,
122,0.0238037,0.0148193,
124,0.00793457,0.0148987,
126,-0.0213623,0.0151123,
128,-0.00366211,0.0151489,
130,-0.00610352,0.01521,
132,0.0219727,0.0154297,
134,0.0158691,0.0155884,
136,-0.0506592,0.016095,
138,0.0268555,0.0163635,
140,0.0250244,0.0166138,
142,-0.0512695,0.0171265,
144,-0.00488281,0.0171753,
146,-0.0164795,0.0173401,
148,0.0177002,0.0175171,
150,0.0152588,0.0176697,
152,-0.043335,0.018103,
154,-0.000610352,0.0181091,
156,0.0146484,0.0182556,
158,-0.0195313,0.0184509,
160,0.0170898,0.0186218,
162,-0.0280762,0.0189026,
164,0.00305176,0.0189331,
166,0.012207,0.0190552,
168,-0.0402832,0.019458,
170,-0.0280762,0.0197388,
172,0.0164795,0.0199036,
174,0.010376,0.0200073,
176,-0.0238037,0.0202454,
178,-0.0195313,0.0204407,
180,-0.00793457,0.02052,
182,0.0189209,0.0207092,
184,0.0177002,0.0208862,
186,-0.055542,0.0214417,
188,0.0262451,0.0217041,
190,0.0268555,0.0219727,
192,-0.0439453,0.0224121,
194,0.0164795,0.0225769,
196,-0.0274658,0.0228516,
198,0.0268555,0.0231201,
200,0.00732422,0.0230347,
202,-0.0494385,0.0228638,
204,0.0109863,0.0229126,
206,0.0219727,0.0230408,
208,-0.0317383,0.0230652,
210,0.0268555,0.0230164,
212,-0.0250244,0.0230286,
214,0.00610352,0.0230774,
216,0.0183105,0.0230408,
218,-0.0152588,0.0228516,
220,-0.032959,0.022998,
222,0.0189209,0.0229431,
224,0.022583,0.0231567,
226,-0.0250244,0.0231689,
228,-0.0274658,0.0232788,
230,-0.0146484,0.0233154,
232,0.0244141,0.0233093,
234,0.00732422,0.0231567,
236,-0.0549316,0.0231445,
238,0.00915527,0.0229187,
240,0.0195313,0.0228394,
242,-0.0494385,0.0228699,
244,-0.00671387,0.0228455,
246,-0.0195313,0.0228271,
248,0.0146484,0.0227295,
250,0.0128174,0.0226868,
252,-0.0579834,0.0226624,
254,0.0012207,0.0225342,
256,0.0201416,0.022467,
258,-0.0158691,0.022345,
260,0.0170898,0.02229,
262,-0.0256348,0.0224182,
264,0.00854492,0.0224854,
266,0.0189209,0.0225403,
268,-0.0268555,0.0224487,
270,-0.0268555,0.0224609,
272,0.0274658,0.0225769,
274,0.0189209,0.0225891,
276,-0.0189209,0.0223755,
278,-0.0134277,0.0222656,
280,-0.0128174,0.0223511,
282,0.0238037,0.0223938,
284,0.0213623,0.0225525,
286,-0.0592041,0.0225403,
288,0.0256348,0.0225037,
290,0.0170898,0.0224915,
292,-0.0524902,0.0224243,
294,0.00976563,0.0224426,
296,-0.0280762,0.0225281,
