Stephany-A-Musc-ABC-L01
Gráfico creado el:2026-06-05 12:33:16.276
Registro en:2026-06-05 12:46:43.561
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,275058 samples,275058 samples,
0,0.00488281,4.88281E-05,
2,-0.0128174,0.000177002,
4,-0.00793457,0.000256348,
6,-0.00488281,0.000305176,
8,-0.00549316,0.000360107,
10,-0.010376,0.000463867,
12,-0.0012207,0.000476074,
14,-0.00854492,0.000561523,
16,-0.00244141,0.000585937,
18,-0.00549316,0.000640869,
20,-0.00549316,0.000695801,
22,-0.00610352,0.000756836,
24,-0.010376,0.000860596,
26,-0.00427246,0.00090332,
28,-0.00427246,0.000946045,
30,-0.00610352,0.00100708,
32,-0.0109863,0.00111694,
34,0.00244141,0.00114136,
36,-0.00976563,0.00123901,
38,-0.00549316,0.00129395,
40,-0.00427246,0.00133667,
42,-0.010376,0.00144043,
44,0.00366211,0.00147705,
46,-0.00671387,0.00154419,
48,-0.0146484,0.00169067,
50,0.0012207,0.00170288,
52,0,0.00170288,
54,-0.00915527,0.00179443,
56,-0.00915527,0.00188599,
58,-0.00366211,0.00192261,
60,-0.00244141,0.00194702,
62,-0.00671387,0.00201416,
64,-0.00732422,0.0020874,
66,0,0.0020874,
68,-0.00915527,0.00217896,
70,-0.00366211,0.00221558,
72,-0.00305176,0.00224609,
74,-0.0128174,0.00237427,
76,-0.000610352,0.00238037,
78,0.0012207,0.00239258,
80,0,0.00239258,
82,-0.00305176,0.0024231,
84,-0.00610352,0.00248413,
86,-0.00671387,0.00255127,
88,0.00610352,0.0026123,
90,-0.00793457,0.00269165,
92,0.0146484,0.00283813,
94,0.00305176,0.00286865,
96,-0.020752,0.00307617,
98,-0.00732422,0.00314941,
100,0.00610352,0.00321045,
102,0,0.00321045,
104,-0.0183105,0.00339355,
106,-0.00793457,0.0034729,
108,-0.00671387,0.00354004,
110,-0.0140381,0.00368042,
112,0.00183105,0.00369873,
114,-0.020752,0.00390625,
116,-0.0158691,0.00406494,
118,0.0201416,0.00426636,
120,-0.00915527,0.00435791,
122,-0.0219727,0.00457764,
124,-0.00305176,0.00460815,
126,0.00183105,0.00462646,
128,-0.00793457,0.00470581,
130,-0.00244141,0.00473022,
132,-0.00244141,0.00475464,
134,-0.00976563,0.00485229,
136,-0.00732422,0.00492554,
138,-0.00976563,0.00502319,
140,-0.0012207,0.0050354,
142,-0.00854492,0.00512085,
144,-0.00610352,0.00518188,
146,-0.012207,0.00530396,
148,-0.00976563,0.00540161,
150,0.00610352,0.00546265,
152,-0.00610352,0.00552368,
154,-0.00610352,0.00558472,
156,0,0.00558472,
158,-0.00793457,0.00566406,
160,-0.00366211,0.00570068,
162,-0.00610352,0.00576172,
164,-0.00671387,0.00582886,
166,-0.00488281,0.00587769,
168,-0.00915527,0.00596924,
170,-0.00976563,0.00606689,
172,-0.00244141,0.00609131,
174,-0.0140381,0.00623169,
176,-0.00488281,0.00628052,
178,-0.00549316,0.00633545,
180,-0.010376,0.00643921,
182,-0.00610352,0.00650024,
184,-0.010376,0.006604,
186,-0.0158691,0.0067627,
188,-0.0152588,0.00691528,
190,0.00732422,0.00698853,
192,-0.012207,0.0071106,
194,-0.00549316,0.00716553,
196,-0.0012207,0.00717773,
198,0,0.00717773,
200,-0.00610352,0.00718994,
202,-0.00793457,0.00714111,
204,0.00244141,0.00708618,
206,-0.00915527,0.00712891,
208,-0.010376,0.00717773,
210,0.00183105,0.00709229,
212,-0.0152588,0.00723267,
214,-0.0189209,0.00733643,
216,0.0128174,0.00744019,
218,-0.00915527,0.00747681,
220,-0.010376,0.00752563,
222,0,0.0074646,
224,0,0.00736084,
226,-0.00854492,0.00740356,
228,-0.010376,0.0074646,
230,-0.00793457,0.00748291,
232,-0.00732422,0.00744629,
234,-0.00793457,0.00750122,
236,-0.0115967,0.00751953,
238,-0.00366211,0.00750122,
240,-0.00854492,0.00754395,
242,-0.010376,0.00754395,
244,-0.010376,0.00761108,
246,-0.00732422,0.00761719,
248,-0.00976563,0.00756836,
250,-0.00915527,0.00764771,
252,-0.012207,0.00776978,
254,-0.0140381,0.0078186,
256,-0.00549316,0.00778198,
258,-0.012207,0.00786743,
260,-0.00732422,0.00791626,
262,-0.00854492,0.00793457,
264,-0.00793457,0.00794067,
266,-0.00366211,0.00797729,
268,-0.012207,0.00800781,
270,-0.0134277,0.00810547,
272,-0.00488281,0.00812378,
274,-0.00305176,0.00802612,
276,-0.00427246,0.00806274,
278,-0.0170898,0.00822144,
280,-0.00549316,0.00827637,
282,-0.00915527,0.0083374,
284,-0.000610352,0.00828247,
286,-0.00793457,0.00829468,
288,-0.00671387,0.00830078,
290,-0.00976563,0.00831909,
292,-0.00488281,0.00822144,
294,0.00427246,0.00823364,
296,-0.010376,0.00812988,
298,-0.00305176,0.00808716,
300,-0.00427246,0.00806885,
302,-0.00915527,0.0081604,
304,-0.0183105,0.0081604,
306,-0.00915527,0.00817261,
308,0.00427246,0.00814819,
310,-0.0195313,0.00820313,
312,-0.00793457,0.00826416,
