Stephany-B-Musc-ABC-L01
Gráfico creado el:2026-06-05 12:59:13.364
Registro en:2026-06-05 13:00:19.790
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,273492 samples,273492 samples,
0,-0.0158691,0.000158691,
2,-0.00549316,0.000213623,
4,-0.00793457,0.000292969,
6,0.00488281,0.000341797,
8,-0.012207,0.000463867,
10,-0.00732422,0.000537109,
12,-0.00427246,0.000579834,
14,-0.00183105,0.000598145,
16,-0.00305176,0.000628662,
18,-0.00915527,0.000720215,
20,-0.00183105,0.000738525,
22,-0.0164795,0.00090332,
24,0.00183105,0.000921631,
26,-0.00183105,0.000939941,
28,-0.00244141,0.000964355,
30,-0.00976563,0.00106201,
32,-0.00305176,0.00109253,
34,0.0012207,0.00110474,
36,-0.00549316,0.00115967,
38,-0.00488281,0.0012085,
40,-0.00976563,0.00130615,
42,-0.0012207,0.00131836,
44,0.00183105,0.00133667,
46,-0.00610352,0.00139771,
48,-0.0012207,0.00140991,
50,-0.00427246,0.00145264,
52,-0.00427246,0.00149536,
54,-0.00549316,0.00155029,
56,-0.00366211,0.00158691,
58,-0.00183105,0.00160522,
60,-0.00732422,0.00167847,
62,-0.00610352,0.0017395,
64,0.0012207,0.00175171,
66,-0.012207,0.00187378,
68,-0.0012207,0.00188599,
70,0.00427246,0.00192871,
72,-0.00366211,0.00196533,
74,0.00183105,0.00198364,
76,-0.010376,0.0020874,
78,-0.0012207,0.00209961,
80,0.00854492,0.00218506,
82,0.00183105,0.00220337,
84,-0.00305176,0.00223389,
86,-0.00183105,0.0022522,
88,0.020752,0.00245972,
90,-0.0134277,0.00259399,
92,-0.0164795,0.00275879,
94,0.00671387,0.00282593,
96,0.00305176,0.00285645,
98,-0.010376,0.00296021,
100,-0.0177002,0.00313721,
102,0,0.00313721,
104,-0.00732422,0.00321045,
106,-0.00549316,0.00326538,
108,0.00305176,0.0032959,
110,-0.00976563,0.00339355,
112,-0.00549316,0.00344849,
114,-0.00427246,0.00349121,
116,-0.00488281,0.00354004,
118,-0.00427246,0.00358276,
120,0.000610352,0.00358887,
122,-0.00976563,0.00368652,
124,-0.010376,0.00379028,
126,-0.00183105,0.00380859,
128,-0.00183105,0.0038269,
130,0.0012207,0.00383911,
132,-0.00427246,0.00388184,
134,-0.00610352,0.00394287,
136,-0.00488281,0.0039917,
138,-0.00366211,0.00402832,
140,-0.0012207,0.00404053,
142,-0.00610352,0.00410156,
144,-0.00427246,0.00414429,
146,-0.00366211,0.00418091,
148,-0.000610352,0.00418701,
150,-0.00976563,0.00428467,
152,0.000610352,0.00429077,
154,0.0012207,0.00430298,
156,-0.00732422,0.00437622,
158,-0.00183105,0.00439453,
160,-0.00549316,0.00444946,
162,-0.00915527,0.00454102,
164,-0.00549316,0.00459595,
166,-0.0115967,0.00471191,
168,-0.00488281,0.00476074,
170,-0.00183105,0.00477905,
172,-0.00915527,0.00487061,
174,-0.00732422,0.00494385,
176,-0.00366211,0.00498047,
178,0,0.00498047,
180,-0.00244141,0.00500488,
182,-0.00488281,0.00505371,
184,0.00366211,0.00509033,
186,-0.0170898,0.00526123,
188,0.00305176,0.00529175,
190,-0.00488281,0.00534058,
192,-0.00244141,0.00536499,
194,-0.00732422,0.00543823,
196,0,0.00543823,
198,-0.00488281,0.00548706,
200,0.012207,0.00545044,
202,0.00305176,0.00542603,
204,-0.00427246,0.0053894,
206,0,0.00534058,
208,0.00305176,0.00524902,
210,-0.0012207,0.00518799,
212,0.00854492,0.00523071,
214,-0.0109863,0.00532227,
216,-0.00732422,0.00536499,
218,-0.00793457,0.00535278,
220,-0.00671387,0.00540161,
222,-0.00427246,0.00527954,
224,-0.012207,0.0053833,
226,-0.00976563,0.00546265,
228,-0.00305176,0.00546875,
230,-0.00244141,0.00539551,
232,0,0.00536499,
234,-0.00305176,0.0053833,
236,0.0134277,0.00546265,
238,-0.0109863,0.00552368,
240,-0.00488281,0.00547485,
242,-0.00549316,0.00551758,
244,0.0115967,0.00561523,
246,-0.0012207,0.00556641,
248,-0.0140381,0.00569458,
250,-0.0158691,0.00581055,
252,0.00488281,0.00581665,
254,0.0109863,0.00587158,
256,-0.00671387,0.0059021,
258,-0.00183105,0.0059021,
260,0.0140381,0.00596924,
262,-0.0262451,0.00617065,
264,-0.0115967,0.00627441,
266,0.00427246,0.00619507,
268,-0.010376,0.00628662,
