Stephany-C-Musc-ABC-L01
Gráfico creado el:2026-06-05 13:11:27.789
Registro en:2026-06-05 13:13:48.810
2 mseg/muestras
2 canales
EMG
mV
EMG Integrado
mV-sec
milliSec,CH1,CH40,
,281512 samples,281512 samples,
0,-0.0109863,0.000109863,
2,-0.00488281,0.000158691,
4,-0.00915527,0.000250244,
6,-0.00793457,0.00032959,
8,-0.00976563,0.000427246,
10,-0.0164795,0.000592041,
12,-0.0012207,0.000604248,
14,-0.020752,0.000811768,
16,0,0.000811768,
18,-0.0158691,0.000970459,
20,-0.0146484,0.00111694,
22,0.0012207,0.00112915,
24,-0.00976563,0.00122681,
26,-0.00793457,0.00130615,
28,0.00305176,0.00133667,
30,-0.0152588,0.00148926,
32,-0.00549316,0.00154419,
34,0.00427246,0.00158691,
36,-0.0195313,0.00178223,
38,-0.0177002,0.00195923,
40,0.00610352,0.00202026,
42,-0.00793457,0.00209961,
44,-0.0201416,0.00230103,
46,-0.00427246,0.00234375,
48,-0.00732422,0.00241699,
50,-0.00183105,0.0024353,
52,-0.00305176,0.00246582,
54,-0.00976563,0.00256348,
56,-0.00366211,0.0026001,
58,-0.00793457,0.00267944,
60,-0.000610352,0.00268555,
62,0.00610352,0.00274658,
64,-0.0115967,0.00286255,
66,-0.010376,0.00296631,
68,0.00244141,0.00299072,
70,-0.020752,0.00319824,
72,0.00366211,0.00323486,
74,-0.00183105,0.00325317,
76,-0.00854492,0.00333862,
78,-0.00915527,0.00343018,
80,-0.0128174,0.00355835,
82,-0.00183105,0.00357666,
84,-0.00976563,0.00367432,
86,-0.0128174,0.00380249,
88,-0.0012207,0.0038147,
90,-0.0158691,0.00397339,
92,-0.00366211,0.00401001,
94,-0.00976563,0.00410767,
96,-0.00488281,0.00415649,
98,-0.00915527,0.00424805,
100,-0.00183105,0.00426636,
102,-0.00427246,0.00430908,
104,0.00488281,0.00435791,
106,-0.00854492,0.00444336,
108,-0.00671387,0.0045105,
110,-0.0012207,0.00452271,
112,-0.0012207,0.00453491,
114,-0.00183105,0.00455322,
116,-0.0134277,0.0046875,
118,-0.00732422,0.00476074,
120,-0.00793457,0.00484009,
122,-0.000610352,0.00484619,
124,-0.00671387,0.00491333,
126,-0.00671387,0.00498047,
128,-0.00610352,0.0050415,
130,-0.00915527,0.00513306,
132,-0.00854492,0.00521851,
134,0.00671387,0.00528564,
136,-0.00427246,0.00532837,
138,-0.00610352,0.0053894,
140,-0.00305176,0.00541992,
142,-0.00488281,0.00546875,
144,-0.00854492,0.0055542,
146,0.0012207,0.00556641,
148,0.0012207,0.00557861,
150,-0.00732422,0.00565186,
152,-0.00915527,0.00574341,
154,-0.00488281,0.00579224,
156,-0.012207,0.00591431,
158,-0.0164795,0.0060791,
160,-0.00854492,0.00616455,
162,-0.00244141,0.00618896,
164,-0.0250244,0.00643921,
166,0.00549316,0.00649414,
168,0.00305176,0.00652466,
170,-0.00671387,0.0065918,
172,-0.00427246,0.00663452,
174,0.0012207,0.00664673,
176,0.00671387,0.00671387,
178,0.00183105,0.00673218,
180,-0.00793457,0.00681152,
182,-0.0152588,0.00696411,
